COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS382307a,C14H18N2O3,COc1ccccc1CNC(=O)CN1CCCC1=O,20.06920573,XS383714a
XS383714a,C14H18N2O3,O=C(O)C1CCCCC1C(=O)NCc1ccccn1,20.06920573,XS382307a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,209.0489323,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,209.0489323,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,82.04580404000001,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,82.04580404000001,XS380139a
XS379613a,C19H20N4O3,Cc1n[nH]c2c1C(c1ccc([N+](=O)[O-])cc1)C1=C(CC(C)(C)CC1=O)N2,71.34957407246141,XS386210a
XS386210a,C19H20N4O3,O=C1CCC2(CNC(=O)c3n[nH]c(=O)c4ccccc34)CCCC=C2N1,71.34957407246141,XS379613a
XS384195a,C12H12N4O2,Cc1cc(C)c2c(N3C(=O)CCC3=O)n[nH]c2n1,36.90174967333334,XS382272a
XS382272a,C12H12N4O2,CCCc1cc(O)n2nc(-c3ccco3)nc2n1,36.90174967333334,XS384195a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,38.32191731666667,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,38.32191731666667,XS382125a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,24.561445313333333,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,24.561445313333333,XS384351a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,18.75903646,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,18.75903646,XS383371a
XS381136a,C15H16FN3O,Cn1nccc1C(=O)N1CCCC1c1cccc(F)c1,35.12555663333333,XS381176a
XS381176a,C15H16FN3O,Cn1ccc(C(=O)N2CCCC2c2cccc(F)c2)n1,35.12555663333333,XS381136a
XS385756a,C17H18N2O2,O=C(c1cccnc1)N1CCC(OCc2ccccc2)C1,27.16452148333333,XS385916a
XS385916a,C17H18N2O2,O=C(c1ccncc1)N1CCC(OCc2ccccc2)C1,27.16452148333333,XS385756a
PK001469c,C9H13N5O,Cn1ncc2c(NCCCO)ncnc21,15.724607746666669,PK001470c
PK001470c,C9H13N5O,CC(O)CNc1ncnc2c1cnn2C,15.724607746666669,PK001469c
XS383612a,C14H14N2O2,O=C(COc1ccccc1)NCc1ccncc1,100.39959797333331,XS383760a
XS383760a,C14H14N2O2,COc1ccccc1C(=O)NCc1ccncc1,100.39959797333331,XS383612a
XS384772a,C15H20N2O2,CC(C)C(=O)NC1CCN(C(=O)c2ccccc2)C1,23.04826009,XS385642a;XS382477a
XS385642a,C15H20N2O2,O=C(Cc1cccnc1)N1CCC(OCC2CC2)C1,23.04826009,XS384772a;XS382477a
XS382477a,C15H20N2O2,O=C1CCCCC(C(=O)NCCc2ccccc2)N1,23.04826009,XS384772a;XS385642a
XS380270a,C14H17NO4,O=C(CC1COc2ccccc2O1)N1CCOCC1,31.021455076666665,XS012606d
XS012606d,C14H17NO4,O=C(O)COCC(=O)N1CCCCc2ccccc21,31.021455076666665,XS380270a
XS384033a,C15H13FN4S,Cn1c(SCc2ccc(F)cc2)nnc1-c1cccnc1,41.72740886666666,XS384073a
XS384073a,C15H13FN4S,Cn1c(SCc2cccc(F)c2)nnc1-c1cccnc1,41.72740886666666,XS384033a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,28.96057942666667,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,28.96057942666667,XS385532a
XS387223a,C17H20N4O3,O=C(c1ccncc1)N1CCCC(OCc2nc(C3CC3)no2)C1,21.55201334666667,XS384240a;XS382916a
XS384240a,C17H20N4O3,Cn1ncc(C(=O)O)c1C(=O)N1CCN(Cc2ccccc2)CC1,21.55201334666667,XS387223a;XS382916a
XS382916a,C17H20N4O3,O=C(Cn1cccn1)NCC1CN(Cc2ccccc2)C(=O)CO1,21.55201334666667,XS387223a;XS384240a
XS384035a,C14H21N3O,Cc1cccc(N2CCN(CC(N)=O)CC2)c1C,24.13203776,XS383244a
XS383244a,C14H21N3O,CN1CCN(C(=O)c2ccc(N(C)C)cc2)CC1,24.13203776,XS384035a
XS143793b,C9H9N3O2,Cc1cc2ncc(C(=O)O)c(C)n2n1,16.752026366666666,XS387148a
XS387148a,C9H9N3O2,Cc1cc(C(=O)O)c2cnn(C)c2n1,16.752026366666666,XS143793b
XS383490a,C18H19N3O2,O=C(Nc1ccncc1)C1CCN(C(=O)c2ccccc2)CC1,98.89488282666666,XS383523a
XS383523a,C18H19N3O2,O=C(Nc1cccnc1)C1CCN(C(=O)c2ccccc2)CC1,98.89488282666666,XS383490a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,16.867779946666666,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,16.867779946666666,XS386324a
XS386304a,C16H28N4O3S,Cc1nc(S(=O)(=O)N(CCN2CCCC2)C2CCOCC2)cn1C,20.450960286666668,XS387487aCL
XS387487aCL,C16H28N4O3S,Cc1noc(C)c1S(=O)(=O)N(CCN1CCCC1)C1CCCNC1,20.450960286666668,XS386304a
XS381312a,C21H26N4O3,COCCNC(=O)CCCn1c(C)c2cnn(-c3ccccc3)c(=O)c2c1C,47.5748177,XS382840a;XS382000a
XS382840a,C21H26N4O3,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1c(C)noc1C)C2,47.5748177,XS381312a;XS382000a
XS382000a,C21H26N4O3,COC(=O)c1cnn2c(NC3CCCCCC3)c(-c3cccc(OC)c3)[nH]c12,47.5748177,XS381312a;XS382840a
XS382428aCL,C10H11N3O,Cc1ccc(-c2noc(CN)n2)cc1,47.20239095,XS382508a
XS382508a,C10H11N3O,CNCc1nc(-c2ccccc2)no1,47.20239095,XS382428aCL
XS381113a,C12H14N2O2,CCc1nc2ccccc2n1CCC(=O)O,21.1236084,XS385507a
XS385507a,C12H14N2O2,CCc1nc2ccccc2n1C(C)C(=O)O,21.1236084,XS381113a
XS382348aCL,C13H15N3O2,COc1ccc(-c2noc(C3CCCN3)n2)cc1,109.23201499333334,XS382178a
XS382178a,C13H15N3O2,Cn1cc(C(=O)N2CCOCC2)c2cccnc21,109.23201499333334,XS382348aCL
XS385397a,C13H18N4O,O=C(NC1CC1)C1CCN(c2cnccn2)CC1,17.077054036666667,XS382158a
XS382158a,C13H18N4O,CC(C)C(=O)NCCc1nc2cccnc2n1C,17.077054036666667,XS385397a
XS381859a,C16H22N2O3,CCOCCCNC(=O)C1Cc2ccccc2N1C(C)=O,185.39665363333333,XS382568a
XS382568a,C16H22N2O3,COCC(=O)N1CCC(Cc2ccc(C(N)=O)cc2)CC1,185.39665363333333,XS381859a
XS385635a,C17H22N4O2,Cc1noc(C)c1CN1CCC(NC(=O)c2ccncc2)CC1,33.550983073333335,XS385873a
XS385873a,C17H22N4O2,COc1ccccc1CCC(=O)NCc1nnc2n1CCCC2,33.550983073333335,XS385635a
XS384311a,C15H24N6O4S2,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)n[nH]c3C)CC2)c(C)n1,85.8620052,XS384389a
