COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS384762a,C13H16N2O2,CNC(=O)[C@@H]1CCCN1C(=O)c1ccccc1,20.1533903,XS379717a;XS384911a;XS384947a
XS379717a,C13H16N2O2,CC(NC(=O)C(=O)NC1CC1)c1ccccc1,20.1533903,XS384762a;XS384911a;XS384947a
XS384911a,C13H16N2O2,CN(C)C(=O)C1CC(=O)N(c2ccccc2)C1,20.1533903,XS384762a;XS379717a;XS384947a
XS384947a,C13H16N2O2,CNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,20.1533903,XS384762a;XS379717a;XS384911a
XS384877a,C14H18N2O2,CN(C)C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,29.14874023333333,XS384985a
XS384985a,C14H18N2O2,Cc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,29.14874023333333,XS384877a
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,70.57041015666667,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,70.57041015666667,XS383328a
XS384802a,C15H18N2O2,O=C(NC1CC1)[C@@H]1CCCN1C(=O)c1ccccc1,49.95892740666668,XS382846a
XS382846a,C15H18N2O2,CC#CC(=O)N(C)Cc1ccc(=O)n(CC2CC2)c1,49.95892740666668,XS384802a
XS382307a,C14H18N2O3,COc1ccccc1CNC(=O)CN1CCCC1=O,18.98051432333333,XS383714a
XS383714a,C14H18N2O3,O=C(O)C1CCCCC1C(=O)NCc1ccccn1,18.98051432333333,XS382307a
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,56.418243810000014,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,56.418243810000014,XS387290a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,65.94525227333334,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,65.94525227333334,XS383877a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,92.45834959333334,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,92.45834959333334,XS380139a
XS381485a,C17H20N6O2,CCn1cc(C(=O)N2CCN(c3nc4nc(C)ccc4o3)CC2)cn1,68.06054036,XS381522a;XS383385a
XS381522a,C17H20N6O2,CCn1cc(C(=O)N2CCCN(c3nc4ncccc4o3)CC2)cn1,68.06054036,XS381485a;XS383385a
XS383385a,C17H20N6O2,O=C(NCCC(=O)N1CCN(c2ccccn2)CC1)c1cnccn1,68.06054036,XS381485a;XS381522a
XS380032a,C19H14N6S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1,25.70180013,XS387154a
XS387154a,C15H19FN2O5S,O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,25.70180013,XS380032a
