COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS380754a,C25H27N3O5,COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1,50.41819792222223,XS381979a
XS381979a,C25H27N3O5,CCOC(=O)CNC(=O)N1Cc2ccccc2-n2cccc2C1c1ccc(OC)c(OC)c1,50.41819792222223,XS380754a
XS380978a,C16H15N3O3,CCC(=O)Nc1cc(C)c(O)c(-c2nc3ncccc3o2)c1,42.71654695556781,XS381456a
XS381456a,C16H15N3O3,Cc1c(C)c2cc(-c3ccnc(N)n3)c(O)c(C)c2oc1=O,42.71654695556781,XS380978a
XS836891a,C17H17N5O2,N#Cc1cc(NC(=O)C2CCC(=O)N(Cc3ccccc3)C2)[nH]n1,34.89971701666666,XS838888a;XS838457a
XS838888a,C17H17N5O2,COc1ccc2nc(CN3NC(=O)CC3c3ccccc3)[nH]c2n1,34.89971701666666,XS836891a;XS838457a
XS838457a,C17H17N5O2,N#Cc1cnn(-c2ccc(C(=O)NC3COC4(CC4)C3)cc2)c1N,34.89971701666666,XS836891a;XS838888a
XS838208a,C16H19N3O3,Cc1ccc(OCCN2CC3=C(C2=O)C(C)NC(=O)N3)cc1,12.86603928,XS841298a
XS841298a,C16H19N3O3,Cc1nc(C(=O)OCC2CC3(CCC3)CO2)c2cc[nH]c2n1,12.86603928,XS838208a
XS842258a,C20H22N4O2S,O=S(=O)(c1ccc2c(c1)CCC2)N1CCCC(c2nnc3ccccn23)C1,26.2378342,XS838461a;XS837160a
XS838461a,C20H22N4O2S,Cc1nn(C2CCS(=O)(=O)C2)c2ncc(-c3ccc4c(c3)CCNC4)cc12,26.2378342,XS842258a;XS837160a
XS837160a,C20H22N4O2S,Cc1nn(C)c(C)c1C(C)C(=O)Nc1nc(-c2ccc3c(c2)COC3)cs1,26.2378342,XS842258a;XS838461a
XS837346a,C16H18N2O2,CC(COc1ccccc1Oc1ncccn1)C1CC1,19.64794596333333,XS840806a
XS840806a,C16H18N2O2,CCC(C)c1ccc(O)c(NC(=O)c2cccnc2)c1,19.64794596333333,XS837346a
XS839262a,C16H18N4O2,COC(=O)C1CC2(CCC2)CN1c1nccc2nccnc12,10.938946397777777,XS838647a
XS838647a,C16H18N4O2,Cc1ccc2nc(N(C)C(C)c3cc(C)on3)[nH]c(=O)c2c1,10.938946397777777,XS839262a
XS842700a,C17H17F3N4O2,O=C(NC(Cc1ccccc1)C(F)(F)F)N1CCc2n[nH]c(=O)cc2C1,45.650040947863054,XS837003a
XS837003a,C17H17F3N4O2,O=C(Nc1cccc(CC(F)(F)F)c1)Nc1ccc(C2CCOC2)nn1,45.650040947863054,XS842700a
XS841667a,C16H18N2O2,Cc1ccc(-c2ccc(C)c(NC3CCNC3=O)c2)o1,13.108383790474136,XS839093a
XS839093a,C16H18N2O2,O=C(OC1CCC2(CCC2)C1)c1ccc2cncn2c1,13.108383790474136,XS841667a
XS840736a,C17H23N5O2,CCN1CCN(C(=O)c2c[nH]c(=O)cc2C)CC1c1nccn1C,15.383186393341925,XS838925a;XS837536a
XS838925a,C17H23N5O2,COCCN(CC1CC=CCC1)C(=O)Nc1ccn2ncnc2c1,15.383186393341925,XS840736a;XS837536a
XS837536a,C17H23N5O2,Cc1nc(N2CC3(CCC3)CC2CC(=O)O)c2c(n1)c(C)nn2C,15.383186393341925,XS840736a;XS838925a
XS842116a,C14H18ClF3N2O2,CC(O)(CN1CCC(Oc2cncc(Cl)c2)CC1)C(F)(F)F,26.42261955435019,XS840737a
XS840737a,C17H14N4O4,O=C(NNC(=O)C1COc2ccccc2O1)c1cccc2cn[nH]c12,26.42261955435019,XS842116a
XS841242a,C18H18N4O3,Cc1occc1-c1cc(NC(=O)NC(c2ccccn2)C2CC2)no1,12.437612873194402,XS840990a
XS840990a,C18H18N4O3,CC1CN(c2nccn3nc(C(=O)O)cc23)CCc2ccc(O)cc21,12.437612873194402,XS841242a
XS842198a,C20H20N4O2,O=C(Cn1cncn1)NC(c1ccccc1)c1ccc2c(c1)CCCO2,12.224414522834596,XS837629a
XS837629a,C20H20N4O2,Nc1ccc2c(c1)CCC2NC(=O)CCc1nc2ccccc2c(=O)[nH]1,12.224414522834596,XS842198a
XS841770a,C17H23NO3S,CC(c1ccc2c(c1)CCC2)S(=O)(=O)CCN1CCCC1=O,10.88363456870671,XS839461a
XS839461a,C15H17F2N5O,Oc1ncnc2ncc(NCC3CC34CCC(F)(F)CC4)nc12,10.88363456870671,XS841770a
