COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,21.70687203674357,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,21.70687203674357,XS381207a
XS384478a,C15H21F2N5,CCC(C)Nc1nc(-c2cnn(CC)c2C)cc(C(F)F)n1,13.750375,XS384518a
XS384518a,C15H21F2N5,Cc1nn(C)cc1-c1cc(C(F)F)nc(NCCC(C)C)n1,13.750375,XS384478a
XS387310a,C10H10N2O,Cn1[nH]c(-c2ccccc2)cc1=O,17.400224393333335,PK012911b
PK012911b,C10H10N2O,O=C1CCC(c2ccccc2)=NN1,17.400224393333335,XS387310a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,21.14748698,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,21.14748698,XS381971a
XS385634a,C16H16N2O2,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,11.76917296,XS385872a
XS385872a,C16H16N2O2,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,11.76917296,XS385634a
XS381721a,C12H12FN3O,Fc1ccc(-c2noc(C3CCCN3)n2)cc1,18.8812544684659,XS381754a
XS381754a,C12H12FN3O,Fc1cccc(-c2noc(C3CCCN3)n2)c1,18.8812544684659,XS381721a
XS385714a,C17H18N2O3,COc1ccc(C(=O)N2CCC(Oc3cccnc3)C2)cc1,12.227336587777778,XS385754a
XS385754a,C17H18N2O3,COc1ccccc1C(=O)N1CCC(Oc2cccnc2)C1,12.227336587777778,XS385714a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,15.500932725555558,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,15.500932725555558,XS380648a
XS383888a,C13H12FN3O,O=C(NCc1ccncc1)Nc1ccccc1F,11.29195073777778,XS384075a
XS384075a,C13H12FN3O,O=C(NCc1cccnc1)Nc1cccc(F)c1,11.29195073777778,XS383888a
XS383490a,C18H19N3O2,O=C(Nc1ccncc1)C1CCN(C(=O)c2ccccc2)CC1,10.719222004444443,XS383523a
XS383523a,C18H19N3O2,O=C(Nc1cccnc1)C1CCN(C(=O)c2ccccc2)CC1,10.719222004444443,XS383490a
XS379776a,C16H19N3O5,CCN1CC2([N+](=O)[O-])CC=C(Oc3ccccc3)C([N+](=O)[O-])(C1)C2,21.70115213,XS091620b
XS091620b,C16H19N3O5,COC1=CCC2([N+](=O)[O-])CN(Cc3ccccc3)CC1([N+](=O)[O-])C2,21.70115213,XS379776a
XS381279a,C16H21N3O2,CCn1c(C2CC(=O)N(CCOC)C2)nc2ccccc21,10.302549913333335,XS382945a
XS382945a,C16H21N3O2,Cc1cccc(C(=O)N2CCCN3CCNC(=O)C3C2)c1,10.302549913333335,XS381279a
XS384042a,C16H24N4O,O=C(NC1CCCC1)N1CCN(Cc2ccncc2)CC1,11.92218771777778,XS384080a
XS384080a,C16H24N4O,O=C(NC1CCCC1)N1CCN(Cc2ccccn2)CC1,11.92218771777778,XS384042a
XS382466a,C17H22N4O2,Cc1ncoc1C(=O)N1CCCn2ccnc2C1C1CCCC1,12.301574001111112,XS382586a
XS382586a,C17H22N4O2,Cn1cc(C(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2CO)cn1,12.301574001111112,XS382466a
Z2034420269,C17H20N2O3S,COc1ccccc1S(=O)(=O)NCC1NCCc2ccccc21,31.12081640555556,Z3642336112
Z3642336112,C17H20N2O3S,CCOc1cccnc1S(=O)(=O)N1Cc2ccccc2C1CC,31.12081640555556,Z2034420269
Z2493443321,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,10.2304375,Z908024678
Z908024678,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,10.2304375,Z2493443321
Z1732055271,C17H17F3N4O2,O=C(NC(Cc1ccccc1)C(F)(F)F)N1CCc2n[nH]c(=O)cc2C1,129.190139142668,Z4468190250
Z4468190250,C17H17F3N4O2,O=C(Nc1cccc(CC(F)(F)F)c1)Nc1ccc(C2CCOC2)nn1,129.190139142668,Z1732055271
XS382710a,C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2,539.0789444444445,XS381375a
XS381375a,C21H23N5O2,CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,539.0789444444445,XS382710a
