COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,98.8980013,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,98.8980013,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,34.34385416666667,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,34.34385416666667,XS380139a
XS380830a,C21H24N6,CC(C)c1ccc(Nc2c(-c3ccc(N(C)C)cc3)nc3[nH]cnn23)cc1,33.20680989666667,XS386590a
XS386590a,C20H28N2O4,CC1CN(C(=O)c2cccc(C(=O)N3CC(C)OC(C)C3)c2)CC(C)O1,33.20680989666667,XS380830a
XS387253a,C12H14N2O2,CC(=O)c1ccc(NC(=O)NC2CC2)cc1,18.869557293333333,XS380478a
XS380478a,C12H14N2O2,CCC1(C)Cc2nc(O)c(C#N)cc2CO1,18.869557293333333,XS387253a
XS384195a,C12H12N4O2,Cc1cc(C)c2c(N3C(=O)CCC3=O)n[nH]c2n1,38.63057942666666,XS382272a
XS382272a,C12H12N4O2,CCCc1cc(O)n2nc(-c3ccco3)nc2n1,38.63057942666666,XS384195a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,17.786009113333332,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,17.786009113333332,XS384764a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,14.840672199999998,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,14.840672199999998,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,14.840672199999998,XS384843a;XS384027a
XS387084a,C13H18N2O,CCN(Cc1ccncc1)C(=O)C1CC1C,15.554397786666666,XS383199a
XS383199a,C13H18N2O,Cc1ccc(C(=O)N2CCN(C)CC2)cc1,15.554397786666666,XS387084a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,18.47714355333333,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,18.47714355333333,XS383371a
XS381136a,C15H16FN3O,Cn1nccc1C(=O)N1CCCC1c1cccc(F)c1,29.657617186666663,XS381176a
XS381176a,C15H16FN3O,Cn1ccc(C(=O)N2CCCC2c2cccc(F)c2)n1,29.657617186666663,XS381136a
XS385756a,C17H18N2O2,O=C(c1cccnc1)N1CCC(OCc2ccccc2)C1,42.5067155,XS385916a
XS385916a,C17H18N2O2,O=C(c1ccncc1)N1CCC(OCc2ccccc2)C1,42.5067155,XS385756a
PK001469c,C9H13N5O,Cn1ncc2c(NCCCO)ncnc21,14.52757487,PK001470c
PK001470c,C9H13N5O,CC(O)CNc1ncnc2c1cnn2C,14.52757487,PK001469c
XS383612a,C14H14N2O2,O=C(COc1ccccc1)NCc1ccncc1,79.53136393333334,XS383760a
XS383760a,C14H14N2O2,COc1ccccc1C(=O)NCc1ccncc1,79.53136393333334,XS383612a
XS384772a,C15H20N2O2,CC(C)C(=O)NC1CCN(C(=O)c2ccccc2)C1,57.24185873333333,XS385642a;XS382477a
XS385642a,C15H20N2O2,O=C(Cc1cccnc1)N1CCC(OCC2CC2)C1,57.24185873333333,XS384772a;XS382477a
XS382477a,C15H20N2O2,O=C1CCCCC(C(=O)NCCc2ccccc2)N1,57.24185873333333,XS384772a;XS385642a
XS384811a,C14H19N3O2,O=C(Nc1cccnc1N1CCOCC1)C1CCC1,29.829840493333336,XS385920a
XS385920a,C14H19N3O2,CN1C(=O)CCCCC1C(=O)NCc1ccncc1,29.829840493333336,XS384811a
XS384033a,C15H13FN4S,Cn1c(SCc2ccc(F)cc2)nnc1-c1cccnc1,87.70770506666668,XS384073a
XS384073a,C15H13FN4S,Cn1c(SCc2cccc(F)c2)nnc1-c1cccnc1,87.70770506666668,XS384033a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,76.04763672,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,76.04763672,XS385532a
XS387223a,C17H20N4O3,O=C(c1ccncc1)N1CCCC(OCc2nc(C3CC3)no2)C1,39.9833431,XS384240a;XS382916a
XS384240a,C17H20N4O3,Cn1ncc(C(=O)O)c1C(=O)N1CCN(Cc2ccccc2)CC1,39.9833431,XS387223a;XS382916a
XS382916a,C17H20N4O3,O=C(Cn1cccn1)NCC1CN(Cc2ccccc2)C(=O)CO1,39.9833431,XS387223a;XS384240a
XS379763a,C16H20N2O2,CC(=O)N1N=C2CC(C)(C)OCC2C1c1ccccc1,31.67397461,XS384996a
XS384996a,C16H20N2O2,O=C(NC1CCN(C(=O)C2CCC2)C1)c1ccccc1,31.67397461,XS379763a
XS143793b,C9H9N3O2,Cc1cc2ncc(C(=O)O)c(C)n2n1,15.188273113333334,XS387148a
XS387148a,C9H9N3O2,Cc1cc(C(=O)O)c2cnn(C)c2n1,15.188273113333334,XS143793b
XS382521a,C16H22N2O3,CCOc1cccc(CNC(=O)C2CCCCC(=O)N2)c1,237.9885677,XS382601a;XS386224a
XS382601a,C16H22N2O3,COc1cccc(CNC(=O)C2(C)CCCCC(=O)N2)c1,237.9885677,XS382521a;XS386224a
XS386224a,C16H22N2O3,COc1ccc(C(=O)N2CCC3(CCC3OC)CC2)cn1,237.9885677,XS382521a;XS382601a
XS383490a,C18H19N3O2,O=C(Nc1ccncc1)C1CCN(C(=O)c2ccccc2)CC1,51.79183593333333,XS383523a
XS383523a,C18H19N3O2,O=C(Nc1cccnc1)C1CCN(C(=O)c2ccccc2)CC1,51.79183593333333,XS383490a
XS386384a,C17H23FN2O3,CC(=O)N(CCNC(=O)Cc1cccc(F)c1)C1CCOCC1,32.85591796999999,XS382880a
XS382880a,C17H23FN2O3,COCCC1(C(N)=O)CCN(C(=O)Cc2ccc(F)cc2)CC1,32.85591796999999,XS386384a
XS382660a,C16H22FN3O3,Cc1noc(C)c1C(=O)N1CCC(F)(C(=O)NCC2CC2)CC1,48.83596028666667,XS387245a
XS387245a,C19H21N3O2,COCc1cc(-c2c(C#N)c(N)nc3c2CCCC3)ccc1OC,48.83596028666667,XS382660a
XS386424a,C16H25N3O4,CC(=O)N(CCNC(=O)Cc1c(C)noc1C)C1CCOCC1,27.222814126666663,XS386484a
XS386484a,C16H25N3O4,O=C(c1cocn1)N(CCCN1CCOCC1)C1CCOCC1,27.222814126666663,XS386424a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,24.989729816666667,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,24.989729816666667,XS386324a
XS381312a,C21H26N4O3,COCCNC(=O)CCCn1c(C)c2cnn(-c3ccccc3)c(=O)c2c1C,37.370931,XS382840a;XS382000a
XS382840a,C21H26N4O3,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1c(C)noc1C)C2,37.370931,XS381312a;XS382000a
XS382000a,C21H26N4O3,COC(=O)c1cnn2c(NC3CCCCCC3)c(-c3cccc(OC)c3)[nH]c12,37.370931,XS381312a;XS382840a
XS386044a,C21H25N5O3,Cc1cc(C(=O)N2CCC3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n(C)n1,40.21716796666667,XS386084a
XS386084a,C21H25N5O3,O=C(CCn1cccn1)N1CCC2C(=O)N(Cc3ccccc3)CC(=O)N2CC1,40.21716796666667,XS386044a
XS382428aCL,C10H11N3O,Cc1ccc(-c2noc(CN)n2)cc1,21.67029459666667,XS382508a
XS382508a,C10H11N3O,CNCc1nc(-c2ccccc2)no1,21.67029459666667,XS382428aCL
XS381859a,C16H22N2O3,CCOCCCNC(=O)C1Cc2ccccc2N1C(C)=O,245.63258463333327,XS382568a
XS382568a,C16H22N2O3,COCC(=O)N1CCC(Cc2ccc(C(N)=O)cc2)CC1,245.63258463333327,XS381859a
XS386071a,C17H22N4O2,Cc1cc(C(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2CO)[nH]n1,30.012203776666663,XS386151a;XS385911a
XS386151a,C17H22N4O2,Cn1nccc1C(=O)N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO,30.012203776666663,XS386071a;XS385911a
XS385911a,C17H22N4O2,Cc1noc(C)c1CN1CCCC(NC(=O)c2cccnc2)C1,30.012203776666663,XS386071a;XS386151a
XS380603a,C10H12N4O,c1cnc2nc(N3CCNCC3)oc2c1,26.7621875,XS381545a
XS381545a,C10H12N4O,Cc1noc2ncnc(N3CCCC3)c12,26.7621875,XS380603a
XS384311a,C15H24N6O4S2,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)n[nH]c3C)CC2)c(C)n1,54.39269531333333,XS384389a
XS384389a,C15H24N6O4S2,CCn1ncc(S(=O)(=O)N2CCN(S(=O)(=O)c3cnn(C)c3C)CC2)c1C,54.39269531333333,XS384311a
XS386986a,C13H12FN5,Cc1nnc2ccc(NCc3ccc(F)cc3)nn12,71.15253906666668,XS387026a
XS387026a,C13H12FN5,Cc1nnc2ccc(NCc3ccccc3F)nn12,71.15253906666668,XS386986a
XS386635a,C16H21N3O,NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCCC1,50.50035483333333,XS095257bBR
XS095257bBR,C16H21N3O,C=CCn1c(=N)n(CC(=O)C(C)(C)C)c2ccccc21,50.50035483333333,XS386635a
XS123785b,C14H20N2O3,Cc1cc(C(=O)NCCCN2CCCC2=O)c(C)o1,500.0535936666667,XS386237a
XS386237a,C14H20N2O3,CCOCC(=O)N1C[C@@H](CO)[C@H](c2ccncc2)C1,500.0535936666667,XS123785b
XS021749d,C13H17N3O2,COCC(=O)NC(C)c1nc2ccccc2n1C,34.60506836666667,XS382147a;XS383778aCL;XS097011b
XS382147a,C13H17N3O2,COCCCNC(=O)c1cn2ccc(C)cc2n1,34.60506836666667,XS021749d;XS383778aCL;XS097011b
XS383778aCL,C13H17N3O2,NCCNC(=O)C1CC(=O)N(c2ccccc2)C1,34.60506836666667,XS021749d;XS382147a;XS097011b
XS097011b,C13H17N3O2,COCC(=O)NCCCc1nc2ccccc2[nH]1,34.60506836666667,XS021749d;XS382147a;XS383778aCL
XS385939a,C19H25N3O2,Cc1cc(C(=O)N2CCC(Cc3ccc(CO)cc3)CC2)n(C)n1,30.282265626666668,XS385979a
XS385979a,C19H25N3O2,CCn1cc(C(=O)N2CCC(Cc3ccc(CO)cc3)CC2)cn1,30.282265626666668,XS385939a
XS385779a,C19H24N4O2,COc1ccc(CN2CCN(C(=O)NCc3ccccc3)CC2)cn1,43.60878579999999,XS385819a;XS385859a
XS385819a,C19H24N4O2,CCOc1ccc(CN2CCN(C(=O)c3ccc(C)nc3)CC2)cn1,43.60878579999999,XS385779a;XS385859a
XS385859a,C19H24N4O2,CCOc1ccc(CN2CCN(C(=O)Cc3cccnc3)CC2)cn1,43.60878579999999,XS385779a;XS385819a
XS382635a,C20H31N5O3,Cc1cc(C)n(CC(=O)N2CCC(N3C(=O)N(C)CC34CCOCC4)CC2)n1,189.4358138,XS385422a
XS385422a,C20H31N5O3,CCN1C(=O)c2c(C(=O)NC(C)(C)C)ncn2CC1(C)C(=O)NC1CCCC1,189.4358138,XS382635a
XS385741a,C16H18N4O2,COc1ccc(C(=O)N2CCC(Nc3cccnc3)C2)cn1,27.832462566666667,XS380707a
XS380707a,C16H18N4O2,COc1ccc(-n2nc3c(C)nnc(C)c3c2C)cc1OC,27.832462566666667,XS385741a
XS379776a,C16H19N3O5,CCN1CC2([N+](=O)[O-])CC=C(Oc3ccccc3)C([N+](=O)[O-])(C1)C2,248.3433854,XS091620b
XS091620b,C16H19N3O5,COC1=CCC2([N+](=O)[O-])CN(Cc3ccccc3)CC1([N+](=O)[O-])C2,248.3433854,XS379776a
XS382398a,C17H19N5O3,Cc1noc(C)c1C(=O)N1CC[C@@H](n2c(=O)n(C)c3cccnc32)C1,59.95016926666667,XS379253a
XS379253a,C17H19N5O3,CC(NC(=O)Cn1cnc2c1c(=O)n(C)c(=O)n2C)c1ccccc1,59.95016926666667,XS382398a
XS383358a,C9H9N3O2,Cn1ncc(C(=O)O)c1-n1cccc1,18.203780923333333,XS384321a
XS384321a,C9H9N3O2,Cc1cc(C)n2ncc(C(=O)O)c2n1,18.203780923333333,XS383358a
XS381068a,C13H12N4S,Cc1ccc(-c2csc3c(NN)ncnc23)cc1,731.2297395666666,XS383245a
