COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,97.29860676666664,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,97.29860676666664,XS387290a
XS386570a,C24H31N3O3,COCC(=O)N(Cc1cccnc1)C1CCCN(C(=O)CCCc2ccccc2)C1,61.729609376666666,XS386610a
XS386610a,C24H31N3O3,COc1ccc(CC(=O)N2CCCC(N(Cc3cccnc3)C(=O)C(C)C)C2)cc1,61.729609376666666,XS386570a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,53.25372396666667,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,53.25372396666667,XS383696a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,35.36777669333333,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,35.36777669333333,XS384806a
XS382670a,C14H18N4O3S,Cn1nc(CCNS(=O)(=O)c2cccnc2)c2c1CCOC2,11.32926188,XS382750a;XS382790a
XS382750a,C14H18N4O3S,CS(=O)(=O)N1CCCC1CCc1noc(-c2cccnc2)n1,11.32926188,XS382670a;XS382790a
XS382790a,C14H18N4O3S,CS(=O)(=O)N1CCCC1CCc1noc(-c2ccncc2)n1,11.32926188,XS382670a;XS382750a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,23.77996582,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,23.77996582,XS383756a
XS385153a,C12H14FNO2,CC(=O)c1ccc(N2CCOCC2)c(F)c1,13.219270833333333,XS383832a
XS383832a,C12H14FNO2,O=C(NCC1CCCO1)c1cccc(F)c1,13.219270833333333,XS385153a
XS383182a,C20H23N3O3,COc1ccc(C(=O)N[C@@H]2CCC[C@@H]2C(=O)NCc2ccncc2)cc1,21.650105796666665,XS383220a
XS383220a,C20H23N3O3,COc1ccc(CNC(=O)[C@H]2CCC[C@H]2NC(=O)c2ccncc2)cc1,21.650105796666665,XS383182a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,110.60550455666666,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,110.60550455666666,XS386158a
