COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,18.52351907240274,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,18.52351907240274,XS381207a
XS387310a,C10H10N2O,Cn1[nH]c(-c2ccccc2)cc1=O,13.44352571777778,PK012911b
PK012911b,C10H10N2O,O=C1CCC(c2ccccc2)=NN1,13.44352571777778,XS387310a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,16.118374565555555,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,16.118374565555555,XS381971a
XS385634a,C16H16N2O2,O=C(c1ccncc1)N1CCC(Oc2ccccc2)C1,14.890994574444443,XS385872a
XS385872a,C16H16N2O2,O=C(c1ccccc1)N1CCC(Oc2cccnc2)C1,14.890994574444443,XS385634a
XS381721a,C12H12FN3O,Fc1ccc(-c2noc(C3CCCN3)n2)cc1,12.06984109520164,XS381754a
XS381754a,C12H12FN3O,Fc1cccc(-c2noc(C3CCCN3)n2)c1,12.06984109520164,XS381721a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,16.14065191,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,16.14065191,XS380648a
XS379776a,C16H19N3O5,CCN1CC2([N+](=O)[O-])CC=C(Oc3ccccc3)C([N+](=O)[O-])(C1)C2,23.096979166666667,XS091620b
XS091620b,C16H19N3O5,COC1=CCC2([N+](=O)[O-])CN(Cc3ccccc3)CC1([N+](=O)[O-])C2,23.096979166666667,XS379776a
Z2034420269,C17H20N2O3S,COc1ccccc1S(=O)(=O)NCC1NCCc2ccccc21,33.94222938322222,Z3642336112
Z3642336112,C17H20N2O3S,CCOc1cccnc1S(=O)(=O)N1Cc2ccccc2C1CC,33.94222938322222,Z2034420269
Z2493443321,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,15.639193576666663,Z908024678
Z908024678,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,15.639193576666663,Z2493443321
XS382710a,C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2,429.6321388888889,XS381375a
XS381375a,C21H23N5O2,CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,429.6321388888889,XS382710a
