COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
FM009945b,C11H13NO2,CC(=O)N1CCOc2ccccc2C1,103.1718034,XS380638a
XS380638a,C11H13NO2,CN1C(=O)C(CCO)c2ccccc21,103.1718034,FM009945b
XS384762a,C13H16N2O2,CNC(=O)[C@@H]1CCCN1C(=O)c1ccccc1,18.787145183333333,XS379717a;XS384911a;XS384947a
XS379717a,C13H16N2O2,CC(NC(=O)C(=O)NC1CC1)c1ccccc1,18.787145183333333,XS384762a;XS384911a;XS384947a
XS384911a,C13H16N2O2,CN(C)C(=O)C1CC(=O)N(c2ccccc2)C1,18.787145183333333,XS384762a;XS379717a;XS384947a
XS384947a,C13H16N2O2,CNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,18.787145183333333,XS384762a;XS379717a;XS384911a
XS382307a,C14H18N2O3,COc1ccccc1CNC(=O)CN1CCCC1=O,30.025260416666665,XS383714a
XS383714a,C14H18N2O3,O=C(O)C1CCCCC1C(=O)NCc1ccccn1,30.025260416666665,XS382307a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,41.44092123333333,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,41.44092123333333,XS380139a
XS387253a,C12H14N2O2,CC(=O)c1ccc(NC(=O)NC2CC2)cc1,16.485501303333333,XS380478a
XS380478a,C12H14N2O2,CCC1(C)Cc2nc(O)c(C#N)cc2CO1,16.485501303333333,XS387253a
XS383347a,C13H15N3O2,Cc1noc(C)c1CC(=O)NCc1cccnc1,49.23374674666667,XS384119a
XS384119a,C13H15N3O2,COc1ccc(CNC(=O)c2ccnn2C)cc1,49.23374674666667,XS383347a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,21.683439126666663,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,21.683439126666663,XS384764a
XS382349a,C15H18N4O2,CN(C(=O)Cn1nc2n(c1=O)CCCC2)c1ccccc1,18.72802409,XS382489a
XS382489a,C15H18N4O2,Cc1ccc(CC(=O)N2CCn3c(nn(C)c3=O)C2)cc1,18.72802409,XS382349a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,31.85524902333333,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,31.85524902333333,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,31.85524902333333,XS384843a;XS384027a
