COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,46.54857584666667,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,46.54857584666667,XS383696a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,21.530311686666664,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,21.530311686666664,XS384806a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,14.138847653333334,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,14.138847653333334,XS383756a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,90.314375,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,90.314375,XS386158a
XS384278a,C12H17N3O3,Cn1ncc(C(=O)O)c1C(=O)N1CCCCCC1,14.201053873333333,XS384357a
XS384357a,C12H17N3O3,Cn1ccc(NC(=O)C2CCCCC2C(=O)O)n1,14.201053873333333,XS384278a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,74.24875653333334,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,74.24875653333334,XS380648a
XS385782a,C15H20N4O,O=C(NCCCN1CCCC1)c1cn2ccccc2n1,12.170882807150187,XS385902a
XS385902a,C15H20N4O,Cc1ccn2cc(C(=O)NCCN3CCCC3)nc2c1,12.170882807150187,XS385782a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,51.37151366666667,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,51.37151366666667,XS382419a
XS382738a,C16H20FN3O3,O=C(c1ccccn1)N1CCC(F)(C(=O)N2CCOCC2)CC1,12.587451173333331,XS382778a
XS382778a,C16H20FN3O3,COc1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)cn1,12.587451173333331,XS382738a
XS382740a,C17H22FN3O2,O=C(Cc1cccnc1)N1CCC(F)(C(=O)N2CCCC2)CC1,16.777624513333333,XS382780a
XS382780a,C17H22FN3O2,Cc1ccncc1C(=O)N1CCC(F)(C(=O)N2CCCC2)CC1,16.777624513333333,XS382740a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,31.704896649999995,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,31.704896649999995,XS386324a
XS379525a,C19H18N4,Cc1nn2c3cc(N4CCCC4)ccc3nc2c2ccccc12,95.3225,XS011523d
XS011523d,C16H19FN4O,Cn1nccc1C(=O)N1CCN(Cc2ccc(F)cc2)CC1,95.3225,XS379525a
XS382102a,C18H27N3O5S,CC1CCN(S(=O)(=O)c2cccn(CC(=O)NCC3CCCO3)c2=O)CC1,24.43647135333333,XS025364b
XS025364b,C18H27N3O5S,O=C(Cn1cccc(S(=O)(=O)N2CCCCCC2)c1=O)NCC1CCCO1,24.43647135333333,XS382102a
