COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS384193a,C9H11N5O2,Cc1c(Cn2cc([N+](=O)[O-])cn2)cnn1C,60.76447266666666,XS387079a
XS387079a,C9H11N5O2,CN(C)c1ncnc2c1ncn2CC(=O)O,60.76447266666666,XS384193a
XS384762a,C13H16N2O2,CNC(=O)[C@@H]1CCCN1C(=O)c1ccccc1,24.542192383333337,XS379717a;XS384911a;XS384947a
XS379717a,C13H16N2O2,CC(NC(=O)C(=O)NC1CC1)c1ccccc1,24.542192383333337,XS384762a;XS384911a;XS384947a
XS384911a,C13H16N2O2,CN(C)C(=O)C1CC(=O)N(c2ccccc2)C1,24.542192383333337,XS384762a;XS379717a;XS384947a
XS384947a,C13H16N2O2,CNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,24.542192383333337,XS384762a;XS379717a;XS384911a
XS384877a,C14H18N2O2,CN(C)C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,22.83855631666667,XS384985a
XS384985a,C14H18N2O2,Cc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,22.83855631666667,XS384877a
XS382307a,C14H18N2O3,COc1ccccc1CNC(=O)CN1CCCC1=O,55.98528645666666,XS383714a
XS383714a,C14H18N2O3,O=C(O)C1CCCCC1C(=O)NCc1ccccn1,55.98528645666666,XS382307a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,89.10479166666666,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,89.10479166666666,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,133.92605144333334,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,133.92605144333334,XS380139a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,22.05764323,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,22.05764323,XS383254a
XS384195a,C12H12N4O2,Cc1cc(C)c2c(N3C(=O)CCC3=O)n[nH]c2n1,18.6949056,XS382272a
XS382272a,C12H12N4O2,CCCc1cc(O)n2nc(-c3ccco3)nc2n1,18.6949056,XS384195a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,38.065615236666666,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,38.065615236666666,XS384764a
XS382349a,C15H18N4O2,CN(C(=O)Cn1nc2n(c1=O)CCCC2)c1ccccc1,40.491248373333335,XS382489a
XS382489a,C15H18N4O2,Cc1ccc(CC(=O)N2CCn3c(nn(C)c3=O)C2)cc1,40.491248373333335,XS382349a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,62.244293613333326,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,62.244293613333326,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,62.244293613333326,XS384843a;XS384027a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,59.02786946666667,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,59.02786946666667,XS382125a
XS382949a,C13H15N3O3,CCc1c(C(=O)O)nnn1Cc1cccc(OC)c1,27.67226562666667,XS385580a
XS385580a,C13H15N3O3,COCCCNC(=O)c1nnc(-c2ccccc2)o1,27.67226562666667,XS382949a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,101.34764,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,101.34764,XS384351a
XS382451a,C14H21N3O4S,CS(=O)(=O)N1CCCn2c(ccc2C(=O)N2CCOCC2)C1,24.476176756666668,XS386134a
XS386134a,C14H21N3O4S,Cc1noc(C)c1CC(=O)N1CC[C@@H]2CN(S(C)(=O)=O)[C@@H]2C1,24.476176756666668,XS382451a
XS387084a,C13H18N2O,CCN(Cc1ccncc1)C(=O)C1CC1C,47.05869140666667,XS383199a
XS383199a,C13H18N2O,Cc1ccc(C(=O)N2CCN(C)CC2)cc1,47.05869140666667,XS387084a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,38.12522786666667,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,38.12522786666667,XS383371a
XS381136a,C15H16FN3O,Cn1nccc1C(=O)N1CCCC1c1cccc(F)c1,28.27481771,XS381176a
XS381176a,C15H16FN3O,Cn1ccc(C(=O)N2CCCC2c2cccc(F)c2)n1,28.27481771,XS381136a
XS385756a,C17H18N2O2,O=C(c1cccnc1)N1CCC(OCc2ccccc2)C1,96.70554686666668,XS385916a
XS385916a,C17H18N2O2,O=C(c1ccncc1)N1CCC(OCc2ccccc2)C1,96.70554686666668,XS385756a
XS382892a,C17H18N6O,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1ccncc1,58.00780760000001,XS382932a
XS382932a,C17H18N6O,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1cccnc1,58.00780760000001,XS382892a
PK001469c,C9H13N5O,Cn1ncc2c(NCCCO)ncnc21,14.534298503333332,PK001470c
PK001470c,C9H13N5O,CC(O)CNc1ncnc2c1cnn2C,14.534298503333332,PK001469c
XS383612a,C14H14N2O2,O=C(COc1ccccc1)NCc1ccncc1,136.97864908666668,XS383760a
XS383760a,C14H14N2O2,COc1ccccc1C(=O)NCc1ccncc1,136.97864908666668,XS383612a
XS384772a,C15H20N2O2,CC(C)C(=O)NC1CCN(C(=O)c2ccccc2)C1,88.75804198333333,XS385642a;XS382477a
XS385642a,C15H20N2O2,O=C(Cc1cccnc1)N1CCC(OCC2CC2)C1,88.75804198333333,XS384772a;XS382477a
XS382477a,C15H20N2O2,O=C1CCCCC(C(=O)NCCc2ccccc2)N1,88.75804198333333,XS384772a;XS385642a
XS384033a,C15H13FN4S,Cn1c(SCc2ccc(F)cc2)nnc1-c1cccnc1,106.7854655,XS384073a
XS384073a,C15H13FN4S,Cn1c(SCc2cccc(F)c2)nnc1-c1cccnc1,106.7854655,XS384033a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,86.10446613,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,86.10446613,XS385532a
XS387223a,C17H20N4O3,O=C(c1ccncc1)N1CCCC(OCc2nc(C3CC3)no2)C1,59.83482422,XS384240a;XS382916a
XS384240a,C17H20N4O3,Cn1ncc(C(=O)O)c1C(=O)N1CCN(Cc2ccccc2)CC1,59.83482422,XS387223a;XS382916a
XS382916a,C17H20N4O3,O=C(Cn1cccn1)NCC1CN(Cc2ccccc2)C(=O)CO1,59.83482422,XS387223a;XS384240a
XS386954a,C11H17N3O4S,CCn1cc(S(=O)(=O)N2CCC(C(=O)O)CC2)cn1,24.38631836,XS386993a;XS384359a
XS386993a,C11H17N3O4S,Cc1c(S(=O)(=O)N2CCC(C(=O)O)CC2)cnn1C,24.38631836,XS386954a;XS384359a
XS384359a,C11H17N3O4S,Cc1nn(C)cc1S(=O)(=O)N1CCC(C(=O)O)CC1,24.38631836,XS386954a;XS386993a
XS382678a,C16H24N4O3,CC(C)CN1CC(CNC(=O)c2cc(C3CC3)[nH]n2)OCC1=O,28.221992186666668,XS386162a
XS386162a,C16H24N4O3,CC(=O)N1CCC(c2nc(C)no2)N(C(=O)C2CCCC2)CC1,28.221992186666668,XS382678a
XS380842a,C18H19N5O4,COc1ccc(-n2nc([N+](=O)[O-])c(NCCc3ccc(C)cc3)[n+]2[O-])cc1,33.99525390666666,XS387485a
XS387485a,C18H19N5O4,COCc1c(C(=O)N2CCn3c(n[nH]c3=O)C2c2ccccc2)noc1C,33.99525390666666,XS380842a
XS383490a,C18H19N3O2,O=C(Nc1ccncc1)C1CCN(C(=O)c2ccccc2)CC1,30.66487955666667,XS383523a
XS383523a,C18H19N3O2,O=C(Nc1cccnc1)C1CCN(C(=O)c2ccccc2)CC1,30.66487955666667,XS383490a
XS382660a,C16H22FN3O3,Cc1noc(C)c1C(=O)N1CCC(F)(C(=O)NCC2CC2)CC1,38.86059896666667,XS387245a
XS387245a,C19H21N3O2,COCc1cc(-c2c(C#N)c(N)nc3c2CCCC3)ccc1OC,38.86059896666667,XS382660a
XS386304a,C16H28N4O3S,Cc1nc(S(=O)(=O)N(CCN2CCCC2)C2CCOCC2)cn1C,34.9678711,XS387487aCL
XS387487aCL,C16H28N4O3S,Cc1noc(C)c1S(=O)(=O)N(CCN1CCCC1)C1CCCNC1,34.9678711,XS386304a
XS381312a,C21H26N4O3,COCCNC(=O)CCCn1c(C)c2cnn(-c3ccccc3)c(=O)c2c1C,31.310429686666662,XS382840a;XS382000a
XS382840a,C21H26N4O3,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1c(C)noc1C)C2,31.310429686666662,XS381312a;XS382000a
XS382000a,C21H26N4O3,COC(=O)c1cnn2c(NC3CCCCCC3)c(-c3cccc(OC)c3)[nH]c12,31.310429686666662,XS381312a;XS382840a
XS386044a,C21H25N5O3,Cc1cc(C(=O)N2CCC3C(=O)N(Cc4ccccc4)CC(=O)N3CC2)n(C)n1,24.55694824333333,XS386084a
XS386084a,C21H25N5O3,O=C(CCn1cccn1)N1CCC2C(=O)N(Cc3ccccc3)CC(=O)N2CC1,24.55694824333333,XS386044a
XS382428aCL,C10H11N3O,Cc1ccc(-c2noc(CN)n2)cc1,22.16080892,XS382508a
XS382508a,C10H11N3O,CNCc1nc(-c2ccccc2)no1,22.16080892,XS382428aCL
XS382348aCL,C13H15N3O2,COc1ccc(-c2noc(C3CCCN3)n2)cc1,72.80890949333335,XS382178a
XS382178a,C13H15N3O2,Cn1cc(C(=O)N2CCOCC2)c2cccnc21,72.80890949333335,XS382348aCL
XS380603a,C10H12N4O,c1cnc2nc(N3CCNCC3)oc2c1,24.34058919333333,XS381545a
XS381545a,C10H12N4O,Cc1noc2ncnc(N3CCCC3)c12,24.34058919333333,XS380603a
XS108339b,C12H16N2O4,COC(=O)NCc1ccc(CNC(=O)OC)cc1,125.2561198,XS379509a
