COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,57.89890625,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,57.89890625,XS383328a
XS384802a,C15H18N2O2,O=C(NC1CC1)[C@@H]1CCCN1C(=O)c1ccccc1,69.05979168333333,XS382846a
XS382846a,C15H18N2O2,CC#CC(=O)N(C)Cc1ccc(=O)n(CC2CC2)c1,69.05979168333333,XS384802a
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,81.49849445333334,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,81.49849445333334,XS387290a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,26.131875,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,26.131875,XS381207a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,28.6159375,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,28.6159375,XS383877a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,84.34308106999998,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,84.34308106999998,XS380139a
XS383022a,C17H22N4O2,Cc1nnc(C2CCN(C(=O)C(C)Oc3ccccc3)CC2)[nH]1,40.22652016666667,XS383098a;XS382251a
XS383098a,C17H22N4O2,Cc1nnc(C2CCN(C(=O)COc3ccccc3C)CC2)[nH]1,40.22652016666667,XS383022a;XS382251a
XS382251a,C17H22N4O2,Cc1ccccc1OCC(=O)N1CCCCC1c1nncn1C,40.22652016666667,XS383022a;XS383098a
XS381485a,C17H20N6O2,CCn1cc(C(=O)N2CCN(c3nc4nc(C)ccc4o3)CC2)cn1,63.92872396999999,XS381522a;XS383385a
XS381522a,C17H20N6O2,CCn1cc(C(=O)N2CCCN(c3nc4ncccc4o3)CC2)cn1,63.92872396999999,XS381485a;XS383385a
XS383385a,C17H20N6O2,O=C(NCCC(=O)N1CCN(c2ccccn2)CC1)c1cnccn1,63.92872396999999,XS381485a;XS381522a
XS380032a,C19H14N6S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1,21.96386230333333,XS387154a
XS387154a,C15H19FN2O5S,O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,21.96386230333333,XS380032a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,16.51741536333333,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,16.51741536333333,XS381971a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,58.51955078,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,58.51955078,XS383254a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,14.79737793,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,14.79737793,XS384764a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,104.95902994666667,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,104.95902994666667,XS383696a
XS379510a,C11H16N2O2,Cc1c(C)[n+]([O-])c2c([n+]1[O-])CCCCC2,17.33104492333333,XS387138a
XS387138a,C11H16N2O2,CC(C)(CO)NC(=O)Nc1ccccc1,17.33104492333333,XS379510a
XS385794a,C13H16N2O2,O=C(C1CC1)N1CCC(Oc2cccnc2)C1,35.753932293333335,XS380178a
XS380178a,C13H16N2O2,CC12CCc3ccccc3C1(C)N(N)C(=O)O2,35.753932293333335,XS385794a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,72.04204101666666,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,72.04204101666666,XS384351a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,16.928395183333333,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,16.928395183333333,XS384806a
XS382451a,C14H21N3O4S,CS(=O)(=O)N1CCCn2c(ccc2C(=O)N2CCOCC2)C1,14.656401366666666,XS386134a
XS386134a,C14H21N3O4S,Cc1noc(C)c1CC(=O)N1CC[C@@H]2CN(S(C)(=O)=O)[C@@H]2C1,14.656401366666666,XS382451a
XS385153a,C12H14FNO2,CC(=O)c1ccc(N2CCOCC2)c(F)c1,29.501258140000004,XS383832a
XS383832a,C12H14FNO2,O=C(NCC1CCCO1)c1cccc(F)c1,29.501258140000004,XS385153a
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,31.62960775,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,31.62960775,XS111991b
XS386931a,C13H19N3O2,CC(NC(=O)NCC1CCCO1)c1cccnc1,33.80714355666667,XS384954a
XS384954a,C13H19N3O2,CC(C)C(=O)Nc1cccnc1N1CCOCC1,33.80714355666667,XS386931a
XS386598a,C18H26N4O2,O=C(CCC(=O)N1CCN(c2ccccn2)CC1)NC1CCCC1,25.756876626666667,XS386178a
XS386178a,C18H26N4O2,CNC(=O)N1CCC(C2CCN(C(=O)c3cnccc3C)C2)CC1,25.756876626666667,XS386598a
