COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,16.333001303333333,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,16.333001303333333,XS383328a
XS380032a,C19H14N6S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1,26.43014323,XS387154a
XS387154a,C15H19FN2O5S,O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,26.43014323,XS380032a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,35.513748373333335,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,35.513748373333335,XS381971a
XS386909a,C12H17N3O2,O=c1nc(N2CCOCC2)[nH]c2c1CCCC2,14.992456053333331,XS385543a
XS385543a,C12H17N3O2,CN1CCN(C(=O)c2cc(C3CC3)on2)CC1,14.992456053333331,XS386909a
XS383347a,C13H15N3O2,Cc1noc(C)c1CC(=O)NCc1cccnc1,36.2936035,XS384119a
XS384119a,C13H15N3O2,COc1ccc(CNC(=O)c2ccnn2C)cc1,36.2936035,XS383347a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,21.99050781333333,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,21.99050781333333,XS384351a
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,17.135081380000003,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,17.135081380000003,XS111991b
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,20.477000326666666,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,20.477000326666666,XS382419a
XS386954a,C11H17N3O4S,CCn1cc(S(=O)(=O)N2CCC(C(=O)O)CC2)cn1,14.25947591,XS386993a;XS384359a
XS386993a,C11H17N3O4S,Cc1c(S(=O)(=O)N2CCC(C(=O)O)CC2)cnn1C,14.25947591,XS386954a;XS384359a
XS384359a,C11H17N3O4S,Cc1nn(C)cc1S(=O)(=O)N1CCC(C(=O)O)CC1,14.25947591,XS386954a;XS386993a
XS379396a,C14H16N2O,Cc1ccc(CCNc2ccccc2)c[n+]1[O-],36.40974933333334,XS379276a
XS379276a,C14H16N2O,COc1ccccc1CNCc1cccnc1,36.40974933333334,XS379396a
XS384231a,C11H19N3O2S,Cc1c(S(=O)(=O)NC2CCCCC2)cnn1C,22.34375651,XS384269a
XS384269a,C11H19N3O2S,Cc1nn(C)cc1S(=O)(=O)NC1CCCCC1,22.34375651,XS384231a
