COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS380754a,C25H27N3O5,COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1,27.42286805666667,XS381979a
XS381979a,C25H27N3O5,CCOC(=O)CNC(=O)N1Cc2ccccc2-n2cccc2C1c1ccc(OC)c(OC)c1,27.42286805666667,XS380754a
XS380978a,C16H15N3O3,CCC(=O)Nc1cc(C)c(O)c(-c2nc3ncccc3o2)c1,32.57911589264921,XS381456a
XS381456a,C16H15N3O3,Cc1c(C)c2cc(-c3ccnc(N)n3)c(O)c(C)c2oc1=O,32.57911589264921,XS380978a
XS384821a,C19H18N2O,Cc1ccc(-n2c(C)nc(=O)c(-c3ccccc3)c2C)cc1,65.66238249886155,XS385107a
XS385107a,C19H18N2O,CCCNc1c2c3c(cccc3n1C)C(=O)c1ccccc1-2,65.66238249886155,XS384821a
XS836891a,C17H17N5O2,N#Cc1cc(NC(=O)C2CCC(=O)N(Cc3ccccc3)C2)[nH]n1,19.75552604222222,XS838888a;XS838457a
XS838888a,C17H17N5O2,COc1ccc2nc(CN3NC(=O)CC3c3ccccc3)[nH]c2n1,19.75552604222222,XS836891a;XS838457a
XS838457a,C17H17N5O2,N#Cc1cnn(-c2ccc(C(=O)NC3COC4(CC4)C3)cc2)c1N,19.75552604222222,XS836891a;XS838888a
XS838456a,C18H18FN3O4,Cc1cc(F)ccc1N1CCCC(OC(=O)c2[nH]nc3c2COC3)C1=O,12.48320312222222,XS839327a
XS839327a,C15H19F2N3O5,CCOC(=O)c1cnc(N2CCC(O)(C(F)(F)C(=O)OCC)C2)nc1,12.48320312222222,XS838456a
XS842116a,C14H18ClF3N2O2,CC(O)(CN1CCC(Oc2cncc(Cl)c2)CC1)C(F)(F)F,11.371437796939746,XS840737a
XS840737a,C17H14N4O4,O=C(NNC(=O)C1COc2ccccc2O1)c1cccc2cn[nH]c12,11.371437796939746,XS842116a
