COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS379473a,C18H22F4N2O5,CCOc1cc(C(=O)N2N=C(C(F)F)CC2(O)C(F)F)cc(OCC)c1OCC,17.62231836326597,XS383196a
XS383196a,C24H23FN2O2S,CC1=CC(C)(C)N2C(=O)C3(SC(C)C(=O)N3c3ccc(F)cc3)c3cc(C)cc1c32,17.62231836326597,XS379473a
XS381115a,C22H23N5O3S,COc1ccc(C2=NN(C(C)=O)C3(SC(C(C)=O)=NN3c3cccc(C)c3)N2C)cc1,12.525909287777775,XS381802a
XS381802a,C22H23N5O3S,Cc1cccc(-c2nc(CSc3nc4c(=O)[nH]cnc4n3CC3CCCO3)c(C)o2)c1,12.525909287777775,XS381115a
MR039638b,C14H11F3N4O,Nc1cc(OCC(F)(F)F)cc(-n2nc3ccccc3n2)c1,12.183226098499286,XS384674a
XS384674a,C14H11F3N4O,Cc1cc(C)n(-c2nc(-c3ccco3)cc(C(F)(F)F)n2)n1,12.183226098499286,MR039638b
XS386807a,C17H18N4OS,Cc1nnc(SCC(=O)n2c3c(c4ccccc42)CCCC3)[nH]1,16.94429845892413,XS387279a
XS387279a,C17H18N4OS,c1coc(-c2nnc3sc(C45CC6CC(CC(C6)C4)C5)nn23)c1,16.94429845892413,XS386807a
XS386571a,C14H20N6O2S,COCCNC(=O)c1nc(N2CCSCC2)c2cn(C)nc2n1,11.373099801853074,XS387368a
XS387368a,C14H20N6O2S,CC(C)NC(=O)Cn1nc2c(N3CCSCC3)nccn2c1=O,11.373099801853074,XS386571a
XS841385a,C20H21N3O2,CCc1ccc(C2CC(=O)Nc3nn(Cc4ccccc4)c(C)c32)o1,39.42225911444445,XS838896aAD
XS838896aAD,C20H21N3O2,COc1cc2ccccc2cc1CNC1CCNC(=O)c2[nH]ccc21,39.42225911444445,XS841385a
XS841047a,C19H18ClN3O2,COCCC(Nc1cc(C#N)c2cc(Cl)ccc2n1)c1ccc(C)o1,17.25961930662269,XS836896a
XS836896a,C16H21NO6S,COC(=O)c1ccc(C(=O)OC(C)CS(=O)(=O)N2CCCC2)cc1,17.25961930662269,XS841047a
XS842258a,C20H22N4O2S,O=S(=O)(c1ccc2c(c1)CCC2)N1CCCC(c2nnc3ccccn23)C1,29.9303546,XS838461a;XS837160a
XS838461a,C20H22N4O2S,Cc1nn(C2CCS(=O)(=O)C2)c2ncc(-c3ccc4c(c3)CCNC4)cc12,29.9303546,XS842258a;XS837160a
XS837160a,C20H22N4O2S,Cc1nn(C)c(C)c1C(C)C(=O)Nc1nc(-c2ccc3c(c2)COC3)cs1,29.9303546,XS842258a;XS838461a
XS839517a,C19H22N4O2,Cn1cc(C2CCN(c3cncc(OCCO)n3)C2)c2ccccc21,14.100079477420612,XS840205a
XS840205a,C19H22N4O2,Cc1noc(C)c1C(C)C(=O)N(C)Cc1cc(-c2ccccc2)[nH]n1,14.100079477420612,XS839517a
XS838212a,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,24.0512474,XS836559a
XS836559a,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,24.0512474,XS838212a
XS837346a,C16H18N2O2,CC(COc1ccccc1Oc1ncccn1)C1CC1,16.485247396666665,XS840806a
XS840806a,C16H18N2O2,CCC(C)c1ccc(O)c(NC(=O)c2cccnc2)c1,16.485247396666665,XS837346a
XS841667a,C16H18N2O2,Cc1ccc(-c2ccc(C)c(NC3CCNC3=O)c2)o1,74.73323483774234,XS839093a
XS839093a,C16H18N2O2,O=C(OC1CCC2(CCC2)C1)c1ccc2cncn2c1,74.73323483774234,XS841667a
XS837185a,C20H22N4O,COc1ccc2c(c1)CN(CCn1cncn1)C(c1ccccc1)C2,13.745690754444444,XS842109a
XS842109a,C20H22N4O,c1ccc(Oc2cccc(CN3CCCC(c4ncc[nH]4)C3)c2)nc1,13.745690754444444,XS837185a
XS841845a,C18H23N3O3S,CCCC(=O)N1CSCC1C(=O)N1CCN2CCOc3cccc1c32,14.367841363333334,XS839533a
XS839533a,C18H23N3O3S,CC(C(=O)Nc1ccc(N2CCCCC2)c2ccncc12)S(C)(=O)=O,14.367841363333334,XS841845a
XS840736a,C17H23N5O2,CCN1CCN(C(=O)c2c[nH]c(=O)cc2C)CC1c1nccn1C,11.551094699599162,XS838925a;XS837536a
XS838925a,C17H23N5O2,COCCN(CC1CC=CCC1)C(=O)Nc1ccn2ncnc2c1,11.551094699599162,XS840736a;XS837536a
XS837536a,C17H23N5O2,Cc1nc(N2CC3(CCC3)CC2CC(=O)O)c2c(n1)c(C)nn2C,11.551094699599162,XS840736a;XS838925a
XS841506a,C19H16N4O2,CC(Oc1ccc(C#N)cc1)C(=O)Nc1ccccc1-n1ccnc1,13.15876941227094,XS838322a
XS838322a,C19H16N4O2,N#Cc1cccc(CC(N)C(=O)Nc2cccc3[nH]c(=O)ccc23)c1,13.15876941227094,XS841506a
XS841242a,C18H18N4O3,Cc1occc1-c1cc(NC(=O)NC(c2ccccn2)C2CC2)no1,41.86984577281216,XS840990a
XS840990a,C18H18N4O3,CC1CN(c2nccn3nc(C(=O)O)cc23)CCc2ccc(O)cc21,41.86984577281216,XS841242a
XS840062a,C17H24N4O2S,Cc1ccccc1CS(=O)(=O)N1CCn2c(C(C)C)nnc2C1C,21.1741368969326,XS840748a
XS840748a,C17H24N4O2S,O=S(=O)(NC1CCCC1)c1ccc(NN=CC2CC=CCC2)nc1,21.1741368969326,XS840062a
