COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,49.22663086666667,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,49.22663086666667,XS387290a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,15.619244793333335,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,15.619244793333335,XS383877a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,51.85572591,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,51.85572591,XS383696a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,27.405766600000003,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,27.405766600000003,XS384806a
XS382670a,C14H18N4O3S,Cn1nc(CCNS(=O)(=O)c2cccnc2)c2c1CCOC2,10.24997233,XS382750a;XS382790a
XS382750a,C14H18N4O3S,CS(=O)(=O)N1CCCC1CCc1noc(-c2cccnc2)n1,10.24997233,XS382670a;XS382790a
XS382790a,C14H18N4O3S,CS(=O)(=O)N1CCCC1CCc1noc(-c2ccncc2)n1,10.24997233,XS382670a;XS382750a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,28.53750895333333,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,28.53750895333333,XS383756a
XS385153a,C12H14FNO2,CC(=O)c1ccc(N2CCOCC2)c(F)c1,17.9092334,XS383832a
XS383832a,C12H14FNO2,O=C(NCC1CCCO1)c1cccc(F)c1,17.9092334,XS385153a
XS383182a,C20H23N3O3,COc1ccc(C(=O)N[C@@H]2CCC[C@@H]2C(=O)NCc2ccncc2)cc1,27.30224772333333,XS383220a
XS383220a,C20H23N3O3,COc1ccc(CNC(=O)[C@H]2CCC[C@H]2NC(=O)c2ccncc2)cc1,27.30224772333333,XS383182a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,130.10152346666666,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,130.10152346666666,XS386158a
XS384278a,C12H17N3O3,Cn1ncc(C(=O)O)c1C(=O)N1CCCCCC1,18.41333659,XS384357a
XS384357a,C12H17N3O3,Cn1ccc(NC(=O)C2CCCCC2C(=O)O)n1,18.41333659,XS384278a
