COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS380754a,C25H27N3O5,COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1,34.177081604444446,XS381979a
XS381979a,C25H27N3O5,CCOC(=O)CNC(=O)N1Cc2ccccc2-n2cccc2C1c1ccc(OC)c(OC)c1,34.177081604444446,XS380754a
XS380978a,C16H15N3O3,CCC(=O)Nc1cc(C)c(O)c(-c2nc3ncccc3o2)c1,47.391788110213824,XS381456a
XS381456a,C16H15N3O3,Cc1c(C)c2cc(-c3ccnc(N)n3)c(O)c(C)c2oc1=O,47.391788110213824,XS380978a
XS384821a,C19H18N2O,Cc1ccc(-n2c(C)nc(=O)c(-c3ccccc3)c2C)cc1,15.53225917750416,XS385107a
XS385107a,C19H18N2O,CCCNc1c2c3c(cccc3n1C)C(=O)c1ccccc1-2,15.53225917750416,XS384821a
XS836891a,C17H17N5O2,N#Cc1cc(NC(=O)C2CCC(=O)N(Cc3ccccc3)C2)[nH]n1,29.28001606333333,XS838888a;XS838457a
XS838888a,C17H17N5O2,COc1ccc2nc(CN3NC(=O)CC3c3ccccc3)[nH]c2n1,29.28001606333333,XS836891a;XS838457a
XS838457a,C17H17N5O2,N#Cc1cnn(-c2ccc(C(=O)NC3COC4(CC4)C3)cc2)c1N,29.28001606333333,XS836891a;XS838888a
XS842258a,C20H22N4O2S,O=S(=O)(c1ccc2c(c1)CCC2)N1CCCC(c2nnc3ccccn23)C1,11.110642361111111,XS838461a;XS837160a
XS838461a,C20H22N4O2S,Cc1nn(C2CCS(=O)(=O)C2)c2ncc(-c3ccc4c(c3)CCNC4)cc12,11.110642361111111,XS842258a;XS837160a
XS837160a,C20H22N4O2S,Cc1nn(C)c(C)c1C(C)C(=O)Nc1nc(-c2ccc3c(c2)COC3)cs1,11.110642361111111,XS842258a;XS838461a
XS837346a,C16H18N2O2,CC(COc1ccccc1Oc1ncccn1)C1CC1,13.919857644444445,XS840806a
XS840806a,C16H18N2O2,CCC(C)c1ccc(O)c(NC(=O)c2cccnc2)c1,13.919857644444445,XS837346a
XS841667a,C16H18N2O2,Cc1ccc(-c2ccc(C)c(NC3CCNC3=O)c2)o1,18.500113285567025,XS839093a
XS839093a,C16H18N2O2,O=C(OC1CCC2(CCC2)C1)c1ccc2cncn2c1,18.500113285567025,XS841667a
XS838780a,C16H22N4O2S2,Cc1sc2nc(CN3CCC34CCCS(=O)(=O)C4)nc(N)c2c1C,10.22304258570591,XS839217a
XS839217a,C16H22N4O2S2,Cc1csc2c(N(C)C3CCN(S(C)(=O)=O)C3)nc(C3CC3)nc12,10.22304258570591,XS838780a
