COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,73.38843749333333,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,73.38843749333333,XS387290a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,10.90647461,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,10.90647461,XS383877a
XS386570a,C24H31N3O3,COCC(=O)N(Cc1cccnc1)C1CCCN(C(=O)CCCc2ccccc2)C1,36.19662272,XS386610a
XS386610a,C24H31N3O3,COc1ccc(CC(=O)N2CCCC(N(Cc3cccnc3)C(=O)C(C)C)C2)cc1,36.19662272,XS386570a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,12.56702718,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,12.56702718,XS384806a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,23.69402669333333,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,23.69402669333333,XS383756a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,29.860429686666667,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,29.860429686666667,XS386158a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,32.820559896666666,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,32.820559896666666,XS380648a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,48.81279946666667,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,48.81279946666667,XS382419a
XS384550a,C12H11N3O3,O=C(Cn1ccc(C(=O)O)n1)Nc1ccccc1,12.252782796666668,XS387073a
XS387073a,C12H11N3O3,Cn1cc(C(=O)Nc2ccc(C(=O)O)cc2)cn1,12.252782796666668,XS384550a
XS387265a,C17H23N3O3,COc1ccc(CC(=O)N2CCC3C(=O)NCCN3CC2)cc1,31.49428548333333,XS385884a
XS385884a,C17H23N3O3,CN1CCN(C(=O)[C@@H]2COCC(=O)N2Cc2ccccc2)CC1,31.49428548333333,XS387265a
