COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS379623a,C19H21NO4,CCOC(=O)[C@@H]1[C@@H]2C(=O)N(c3ccc(CC)cc3)C[C@]23C=C[C@H]1O3,10.730627387777776,XS381058a
XS381058a,C19H21NO4,Cc1c(C(=O)OC2CCCC2)[nH]c2c1C(=O)CC(c1ccco1)C2,10.730627387777776,XS379623a
XS379666a,C20H19N3O2,Cc1cc(C)c2c(c1)-c1cc(C)nn1C(c1ccc(C(=O)O)cc1)N2,15.923110025555555,XS385275a
XS385275a,C20H19N3O2,CCOC(=O)C1(c2ccccc2)Nc2ccccc2-c2cc(C)nn21,15.923110025555555,XS379666a
XS385834a,C14H18N2O2,O=C(C1CCC1)N1CCC(Oc2cccnc2)C1,22.436713036784663,XS385918a
XS385918a,C14H18N2O2,O=C(c1cccnc1)N1CCC(OCC2CC2)C1,22.436713036784663,XS385834a
XS385415a,C16H22N2O2,CNC(=O)C1CCCN(C(=O)c2cc(C)cc(C)c2)C1,12.925797743333332,XS385880a;XS385946a;XS387215a
XS385880a,C16H22N2O2,Cc1ccc(CNC(=O)C2CCCCC(=O)N2C)cc1,12.925797743333332,XS385415a;XS385946a;XS387215a
XS385946a,C16H22N2O2,COC1CCC12CCN(C(=O)c1cnccc1C)CC2,12.925797743333332,XS385415a;XS385880a;XS387215a
XS387215a,C16H22N2O2,O=C(NCCN1CCOCC1)C1CC1c1ccccc1,12.925797743333332,XS385415a;XS385880a;XS385946a
XS386111a,C17H24N2O2,O=C(N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO)C1CCC1,18.240010293486844,XS386290a;XS386781a;XS387007a
XS386290a,C17H24N2O2,CC(=O)N1CC[C@@]2(CO)CN(Cc3ccccc3)C[C@H]2C1,18.240010293486844,XS386111a;XS386781a;XS387007a
XS386781a,C17H24N2O2,C[C@@H]1c2ccccc2CCN1C(=O)CCN1CCOCC1,18.240010293486844,XS386111a;XS386290a;XS387007a
XS387007a,C17H24N2O2,CCC(C(=O)NCCCN1CCCC1=O)c1ccccc1,18.240010293486844,XS386111a;XS386290a;XS386781a
XS385804a,C17H26N4O2,O=C(C1CCOC1)N1CCC(Cc2nncn2CC2CC2)CC1,10.3807678452681,XS386138a;XS386501a
XS386138a,C17H26N4O2,CCn1nccc1C(=O)N1CCC(C2CCN(C(C)=O)CC2)C1,10.3807678452681,XS385804a;XS386501a
XS386501a,C17H26N4O2,Cc1cnn(CCC(=O)N2CCCC(CC3CC3)(C(N)=O)C2)c1,10.3807678452681,XS385804a;XS386138a
XS385949a,C18H24N4O2,Cc1cc(CC(=O)N2CCCn3ccnc3C2C2CCCC2)on1,15.493172678217324,XS386083a;XS386615a
XS386083a,C18H24N4O2,COC[C@@H]1CN(C(=O)c2c(C)nn(C)c2C)C[C@H]1c1ccccn1,15.493172678217324,XS385949a;XS386615a
XS386615a,C18H24N4O2,COc1ccccc1CCC(=O)N1CCCC(c2nncn2C)C1,15.493172678217324,XS385949a;XS386083a
XS385533a,C19H27N3O2,CC(=O)N1c2ccccc2CC1C(=O)NCCCN1CCCCC1,25.830140935868524,XS385762a;XS386126a;XS386494a;XS386568a
XS385762a,C19H27N3O2,CN1CCN(C(=O)C2CCCCC(=O)N2Cc2ccccc2)CC1,25.830140935868524,XS385533a;XS386126a;XS386494a;XS386568a
XS386126a,C19H27N3O2,CCN1CCN2CCN(C(=O)Cc3cccc(C)c3)CCC2C1=O,25.830140935868524,XS385533a;XS385762a;XS386494a;XS386568a
XS386494a,C19H27N3O2,CN1CC2(CC1C(=O)N1CCOCC1)CN(Cc1ccccc1)C2,25.830140935868524,XS385533a;XS385762a;XS386126a;XS386568a
XS386568a,C19H27N3O2,CCC(=O)N1CCCC(N(Cc2cccnc2)C(=O)C2CCC2)C1,25.830140935868524,XS385533a;XS385762a;XS386126a;XS386494a
XS386642a,C17H20N2O3S,CC[C@@H](C)[C@H](NC(=O)Cc1csc(-c2ccccc2)n1)C(=O)O,16.72085927,XS386683a
XS386683a,C17H20N2O3S,CC(C)C[C@H](NC(=O)Cc1csc(-c2ccccc2)n1)C(=O)O,16.72085927,XS386642a
XS385954a,C20H23N5O,c1ccc(COCc2cn(C3CCN(Cc4ccncc4)C3)nn2)cc1,11.743541543983628,XS386029a;XS386192a
XS386029a,C20H23N5O,Cc1nn(C)c(C)c1C(=O)N1CCCn2ccnc2C1c1ccccc1,11.743541543983628,XS385954a;XS386192a
XS386192a,C20H23N5O,c1ccc(COCc2cn(C3CCN(Cc4cccnc4)C3)nn2)cc1,11.743541543983628,XS385954a;XS386029a
XS386466a,C19H24N4O3,O=C(c1ccncc1)N1CCC(CCc2noc(C3CCOCC3)n2)C1,11.204562716666668,XS386495a
XS386495a,C19H24N4O3,Cc1cnn(CC(=O)N2CC(=O)N(CCc3ccccc3)CC(O)C2)c1,11.204562716666668,XS386466a
XS385890a,C18H17N5O2,CCc1nc2cc(-c3noc(-c4n[nH]c5c4CCCC5)n3)ccc2o1,12.399385851111113,XS386581a
XS386581a,C18H17N5O2,Cc1ccc(CN2C(=O)CCc3c(C)nc(-c4cnccn4)nc32)o1,12.399385851111113,XS385890a
XS842258a,C20H22N4O2S,O=S(=O)(c1ccc2c(c1)CCC2)N1CCCC(c2nnc3ccccn23)C1,12.290060112222225,XS838461a;XS837160a
XS838461a,C20H22N4O2S,Cc1nn(C2CCS(=O)(=O)C2)c2ncc(-c3ccc4c(c3)CCNC4)cc12,12.290060112222225,XS842258a;XS837160a
XS837160a,C20H22N4O2S,Cc1nn(C)c(C)c1C(C)C(=O)Nc1nc(-c2ccc3c(c2)COC3)cs1,12.290060112222225,XS842258a;XS838461a
XS840624a,C15H16N4O2S2,Cc1cccc(NC(=O)C2CSCN2C(=O)c2cnsn2)c1C,11.012941406666668,XS837168a
XS837168a,C15H16N4O2S2,Cc1ncc(CS(=O)(=O)C(C)c2cn(-c3ccccc3)nn2)s1,11.012941406666668,XS840624a
XS837346a,C16H18N2O2,CC(COc1ccccc1Oc1ncccn1)C1CC1,18.37415190888889,XS840806a
XS840806a,C16H18N2O2,CCC(C)c1ccc(O)c(NC(=O)c2cccnc2)c1,18.37415190888889,XS837346a
XS841667a,C16H18N2O2,Cc1ccc(-c2ccc(C)c(NC3CCNC3=O)c2)o1,15.242500608099562,XS839093a
XS839093a,C16H18N2O2,O=C(OC1CCC2(CCC2)C1)c1ccc2cncn2c1,15.242500608099562,XS841667a
XS836589a,C19H22N2O4,O=C(Nc1cccc(COCC2CCCCO2)c1)c1cccc[n+]1[O-],10.259763237777776,XS838661a
XS838661a,C19H22N2O4,COC(=O)c1cc(C#N)ccc1N1CC(C(=O)OC)CC12CCCC2,10.259763237777776,XS836589a
XS839482a,C20H26N2O2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NC1CC12CCOCC2,14.726889755555558,XS838267a
XS838267a,C20H26N2O2,COCCC1CCCN(c2cccc(=O)n2Cc2ccccc2)C1,14.726889755555558,XS839482a
