COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,30.03431640666666,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,30.03431640666666,XS387290a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,37.82557617333333,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,37.82557617333333,XS383877a
XS386570a,C24H31N3O3,COCC(=O)N(Cc1cccnc1)C1CCCN(C(=O)CCCc2ccccc2)C1,26.46535807333333,XS386610a
XS386610a,C24H31N3O3,COc1ccc(CC(=O)N2CCCC(N(Cc3cccnc3)C(=O)C(C)C)C2)cc1,26.46535807333333,XS386570a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,67.71344076,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,67.71344076,XS383696a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,16.48958903,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,16.48958903,XS384806a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,22.51579264333333,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,22.51579264333333,XS386158a
XS379525a,C19H18N4,Cc1nn2c3cc(N4CCCC4)ccc3nc2c2ccccc12,46.7204948,XS011523d
XS011523d,C16H19FN4O,Cn1nccc1C(=O)N1CCN(Cc2ccc(F)cc2)CC1,46.7204948,XS379525a
XS382102a,C18H27N3O5S,CC1CCN(S(=O)(=O)c2cccn(CC(=O)NCC3CCCO3)c2=O)CC1,36.09691894666666,XS025364b
XS025364b,C18H27N3O5S,O=C(Cn1cccc(S(=O)(=O)N2CCCCCC2)c1=O)NCC1CCCO1,36.09691894666666,XS382102a
XS382310a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3ccncc3)C2)n1,18.29330078,XS382350a
XS382350a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3cccnc3)C2)n1,18.29330078,XS382310a
XS382197a,C23H27N3O4,O=C(c1cccnc1)N1CCCC(COc2ccccc2C(=O)N2CCOCC2)C1,11.602911783333331,XS382273a
XS382273a,C23H27N3O4,Cc1cccc(C(=O)N2CCCC2COc2ccc(C(=O)N3CCOCC3)cc2)n1,11.602911783333331,XS382197a
XS379264a,C11H17N3O,Cc1cc(C(=O)N2CCCCC2)nn1C,15.94930013,XS384008a;XS384048a
XS384008a,C11H17N3O,CCCNC(=O)NC(C)c1ccccn1,15.94930013,XS379264a;XS384048a
XS384048a,C11H17N3O,CC1CC1C(=O)NCCCn1ccnc1,15.94930013,XS379264a;XS384008a
XS385995a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2nccc3ccccc23)C[C@H]1CO,19.559131673333333,XS383682a;XS386075a
XS383682a,C17H21N3O2,Cc1onc(-c2ccccc2)c1C(=O)NC1CCN(C)CC1,19.559131673333333,XS385995a;XS386075a
XS386075a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2ccc3ncccc3c2)C[C@H]1CO,19.559131673333333,XS385995a;XS383682a
XS381865a,C17H24N4O,Cc1ccc(CNC(=O)NCCc2c(C)nn(C)c2C)cc1,16.969137227234746,XS381902a
XS381902a,C17H24N4O,Cc1nn(C)c(C)c1CCNC(=O)NCCc1ccccc1,16.969137227234746,XS381865a
XS381589a,C18H25N3O3,Cc1oc2ncn(C)c(=O)c2c1C(=O)N(C(C)C)C1CCCCC1,194.59492720416043,XS385917a
XS385917a,C18H25N3O3,COCC(=O)N1CCC(C2CCN(C(=O)c3ccncc3)CC2)C1,194.59492720416043,XS381589a
XS382434a,C17H19N3O4S,CNC(=O)[C@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,13.823795573333337,XS382454a;XS386137a
XS382454a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,13.823795573333337,XS382434a;XS386137a
XS386137a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1S(=O)(=O)c1cccnc1,13.823795573333337,XS382434a;XS382454a
XS379446a,C21H18N2O2,Cc1ccc(C2=NN3C(C2)c2ccccc2OC3c2ccccc2)o1,80.11704916,XS381314a
XS381314a,C13H22N4O4S,COCCc1nc2c(c(=O)[nH]1)CCN(S(=O)(=O)N(C)C)CC2,80.11704916,XS379446a
XS379733a,C13H15N3O3,Cc1cc(C)c(COC(=O)c2nonc2N)c(C)c1,11.5398055,XS385020a
XS385020a,C13H15N3O3,Cc1ccc(NC(=O)CN2C(=O)CN(C)C2=O)cc1,11.5398055,XS379733a
Z2918602439,C15H15N3O3S,O=c1c2sc3ncccc3c2ncn1CCOC1CCOC1,12.62916428,Z3364479634
Z3364479634,C15H15N3O3S,COc1nscc1NC(=O)c1ccc(C2CCC(=O)N2)cc1,12.62916428,Z2918602439
