COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,18.69131673333333,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,18.69131673333333,XS383877a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,37.16922526,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,37.16922526,XS383696a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,17.100072426666667,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,17.100072426666667,XS383756a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,17.878171386666665,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,17.878171386666665,XS386158a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,27.716336263333336,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,27.716336263333336,XS382419a
XS386954a,C11H17N3O4S,CCn1cc(S(=O)(=O)N2CCC(C(=O)O)CC2)cn1,12.415166016666667,XS386993a;XS384359a
XS386993a,C11H17N3O4S,Cc1c(S(=O)(=O)N2CCC(C(=O)O)CC2)cnn1C,12.415166016666667,XS386954a;XS384359a
XS384359a,C11H17N3O4S,Cc1nn(C)cc1S(=O)(=O)N1CCC(C(=O)O)CC1,12.415166016666667,XS386954a;XS386993a
XS387265a,C17H23N3O3,COc1ccc(CC(=O)N2CCC3C(=O)NCCN3CC2)cc1,13.952113443333335,XS385884a
XS385884a,C17H23N3O3,CN1CCN(C(=O)[C@@H]2COCC(=O)N2Cc2ccccc2)CC1,13.952113443333335,XS387265a
XS382102a,C18H27N3O5S,CC1CCN(S(=O)(=O)c2cccn(CC(=O)NCC3CCCO3)c2=O)CC1,37.89802897,XS025364b
XS025364b,C18H27N3O5S,O=C(Cn1cccc(S(=O)(=O)N2CCCCCC2)c1=O)NCC1CCCO1,37.89802897,XS382102a
XS382197a,C23H27N3O4,O=C(c1cccnc1)N1CCCC(COc2ccccc2C(=O)N2CCOCC2)C1,25.937888996666665,XS382273a
XS382273a,C23H27N3O4,Cc1cccc(C(=O)N2CCCC2COc2ccc(C(=O)N3CCOCC3)cc2)n1,25.937888996666665,XS382197a
XS384311a,C15H24N6O4S2,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)n[nH]c3C)CC2)c(C)n1,16.471443683333334,XS384389a
XS384389a,C15H24N6O4S2,CCn1ncc(S(=O)(=O)N2CCN(S(=O)(=O)c3cnn(C)c3C)CC2)c1C,16.471443683333334,XS384311a
XS379264a,C11H17N3O,Cc1cc(C(=O)N2CCCCC2)nn1C,20.36404296666667,XS384008a;XS384048a
XS384008a,C11H17N3O,CCCNC(=O)NC(C)c1ccccn1,20.36404296666667,XS379264a;XS384048a
XS384048a,C11H17N3O,CC1CC1C(=O)NCCCn1ccnc1,20.36404296666667,XS379264a;XS384008a
XS385995a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2nccc3ccccc23)C[C@H]1CO,22.376166586666663,XS383682a;XS386075a
XS383682a,C17H21N3O2,Cc1onc(-c2ccccc2)c1C(=O)NC1CCN(C)CC1,22.376166586666663,XS385995a;XS386075a
XS386075a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2ccc3ncccc3c2)C[C@H]1CO,22.376166586666663,XS385995a;XS383682a
XS381865a,C17H24N4O,Cc1ccc(CNC(=O)NCCc2c(C)nn(C)c2C)cc1,18.8912475183659,XS381902a
XS381902a,C17H24N4O,Cc1nn(C)c(C)c1CCNC(=O)NCCc1ccccc1,18.8912475183659,XS381865a
XS381589a,C18H25N3O3,Cc1oc2ncn(C)c(=O)c2c1C(=O)N(C(C)C)C1CCCCC1,349.3733962143164,XS385917a
XS385917a,C18H25N3O3,COCC(=O)N1CCC(C2CCN(C(=O)c3ccncc3)CC2)C1,349.3733962143164,XS381589a
XS382434a,C17H19N3O4S,CNC(=O)[C@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,29.131748046666665,XS382454a;XS386137a
XS382454a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,29.131748046666665,XS382434a;XS386137a
XS386137a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1S(=O)(=O)c1cccnc1,29.131748046666665,XS382434a;XS382454a
XS379446a,C21H18N2O2,Cc1ccc(C2=NN3C(C2)c2ccccc2OC3c2ccccc2)o1,196.27646486666663,XS381314a
XS381314a,C13H22N4O4S,COCCc1nc2c(c(=O)[nH]1)CCN(S(=O)(=O)N(C)C)CC2,196.27646486666663,XS379446a
XS387056a,C14H21N3O,CCC(=O)N1CCCN(Cc2ccncc2)CC1,18.510738874432352,XS381404aCL;XS385037a
XS381404aCL,C14H21N3O,CCC(=O)N1CCN(CCc2ccccn2)CC1,18.510738874432352,XS387056a;XS385037a
XS385037a,C14H21N3O,CN(C)C(=O)CN1CCN(c2ccccc2)CC1,18.510738874432352,XS387056a;XS381404aCL
XS381930a,C13H17N3O4S,Cc1cc(C2CCCN2S(=O)(=O)c2c(C)noc2C)on1,38.82192952333333,XS381966a
XS381966a,C13H17N3O4S,Cc1cc(C2CCCN2S(=O)(=O)c2c(C)noc2C)no1,38.82192952333333,XS381930a
