COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,58.187250160000005,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,58.187250160000005,XS386158a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,16.99877929666667,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,16.99877929666667,XS380648a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,17.679886883333335,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,17.679886883333335,XS382419a
XS382738a,C16H20FN3O3,O=C(c1ccccn1)N1CCC(F)(C(=O)N2CCOCC2)CC1,12.98476644,XS382778a
XS382778a,C16H20FN3O3,COc1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)cn1,12.98476644,XS382738a
XS387265a,C17H23N3O3,COc1ccc(CC(=O)N2CCC3C(=O)NCCN3CC2)cc1,24.09141438666667,XS385884a
XS385884a,C17H23N3O3,CN1CCN(C(=O)[C@@H]2COCC(=O)N2Cc2ccccc2)CC1,24.09141438666667,XS387265a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,18.83259358666667,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,18.83259358666667,XS386324a
XS379525a,C19H18N4,Cc1nn2c3cc(N4CCCC4)ccc3nc2c2ccccc12,44.09870443333333,XS011523d
XS011523d,C16H19FN4O,Cn1nccc1C(=O)N1CCN(Cc2ccc(F)cc2)CC1,44.09870443333333,XS379525a
XS382102a,C18H27N3O5S,CC1CCN(S(=O)(=O)c2cccn(CC(=O)NCC3CCCO3)c2=O)CC1,14.720104166666667,XS025364b
XS025364b,C18H27N3O5S,O=C(Cn1cccc(S(=O)(=O)N2CCCCCC2)c1=O)NCC1CCCO1,14.720104166666667,XS382102a
XS382310a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3ccncc3)C2)n1,18.853445636666667,XS382350a
XS382350a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3cccnc3)C2)n1,18.853445636666667,XS382310a
XS382434a,C17H19N3O4S,CNC(=O)[C@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,11.568243816666666,XS382454a;XS386137a
XS382454a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,11.568243816666666,XS382434a;XS386137a
XS386137a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1S(=O)(=O)c1cccnc1,11.568243816666666,XS382434a;XS382454a
XS379446a,C21H18N2O2,Cc1ccc(C2=NN3C(C2)c2ccccc2OC3c2ccccc2)o1,145.36199868000003,XS381314a
XS381314a,C13H22N4O4S,COCCc1nc2c(c(=O)[nH]1)CCN(S(=O)(=O)N(C)C)CC2,145.36199868000003,XS379446a
XS379733a,C13H15N3O3,Cc1cc(C)c(COC(=O)c2nonc2N)c(C)c1,23.41933349333333,XS385020a
XS385020a,C13H15N3O3,Cc1ccc(NC(=O)CN2C(=O)CN(C)C2=O)cc1,23.41933349333333,XS379733a
XS384172a,C11H17N3O4S,Cc1nn(C)cc1S(=O)(=O)N1CCCC(C(=O)O)C1,12.80528646,XS384246a
XS384246a,C11H17N3O4S,Cc1c(S(=O)(=O)N2CCCC(C(=O)O)C2)cnn1C,12.80528646,XS384172a
Z2772497869,C18H24N2O2,Cc1cc(C(C)NCc2cc(OC3CCC3)ccn2)c(C)o1,11.905219183333331,Z2983453208
Z2983453208,C18H24N2O2,O=C(O)C1=CCC(NCc2ccccc2N2CCCCC2)C1,11.905219183333331,Z2772497869
Z1102642537,C15H16N4O2S2,Cc1cccc(NC(=O)C2CSCN2C(=O)c2cnsn2)c1C,11.015458116666666,Z1419099496
Z1419099496,C15H16N4O2S2,Cc1ncc(CS(=O)(=O)C(C)c2cn(-c3ccccc3)nn2)s1,11.015458116666666,Z1102642537
Z1889590547,C18H16FN3OS,O=C(Nc1ccc2sncc2c1)N1CCCC1c1cccc(F)c1,12.834213976666666,Z6115587089
Z6115587089,C15H14F3N3O3,COC(=O)C(NC(=O)c1ncc[nH]1)c1ccc(C)c(C(F)(F)F)c1,12.834213976666666,Z1889590547
