COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS385677a,C17H21N3O2,CCn1nccc1C(=O)N1CCC(OCc2ccccc2)C1,10.15411132888889,XS385716a
XS385716a,C17H21N3O2,Cc1cc(C(=O)N2CCC(OCc3ccccc3)C2)n(C)n1,10.15411132888889,XS385677a
XS380648a,C15H19N3O3,COc1ccc(-c2noc(C3CCNCC3)n2)cc1OC,10.982873264444446,XS382299a
XS382299a,C15H19N3O3,COc1ncccc1CNC(=O)CCc1c(C)noc1C,10.982873264444446,XS380648a
XS386251a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2nccc3ccccc23)CC1=O,11.630114366666666,XS386291a
XS386291a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2ccc3ccccc3n2)CC1=O,11.630114366666666,XS386251a
XS385408a,C15H25N3O2,CCN(CC)CCCNC(=O)c1noc2c1CCCC2,14.851423177777775,XS386143a
XS386143a,C15H25N3O2,COCc1ncc(C)n1CCNC(=O)C1CCCCC1,14.851423177777775,XS385408a
XS382400a,C19H23N3O2,O=C(N[C@@H]1CN(Cc2ccncc2)CC[C@@H]1CO)c1ccccc1,11.598993456599306,XS385823a
XS385823a,C19H23N3O2,Cn1nc(C2CCN(C(=O)c3ccccc3)CC2)c2c1CCOC2,11.598993456599306,XS382400a
XS385464a,C12H14N4O,CC(C)NC(=O)c1cn(-c2ccccc2)nn1,10.706798285555555,XS384343a
XS384343a,C12H14N4O,CCn1ncc(C(=O)Nc2ccncc2)c1C,10.706798285555555,XS385464a
Z2493443321,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,24.384672743333333,Z908024678
Z908024678,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,24.384672743333333,Z2493443321
Z3079071324,C19H23N3O2,OCC1CC2(CCN(c3cnc(-c4ccccc4)cn3)CC2)CO1,11.023457682222222,Z960881460
Z960881460,C19H23N3O2,Cc1ccc(CC2CCCN(C(=O)Cn3cccnc3=O)C2)cc1,11.023457682222222,Z3079071324
Z2294561030,C20H26N2O2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NC1CC12CCOCC2,15.782533854444443,Z4230448137
Z4230448137,C20H26N2O2,COCCC1CCCN(c2cccc(=O)n2Cc2ccccc2)C1,15.782533854444443,Z2294561030
Z6739884569,C18H19N5O2S,O=c1[nH]c2ccccc2n1C1=CCN(c2nc(C3CCOC3)ns2)CC1,10.361340277777778,Z6781217769
Z6781217769,C15H17F2N5O4,CC(C(=O)N1CCOCC1)c1nc(-c2cnc(OCC(F)F)cn2)no1,10.361340277777778,Z6739884569
Z1547428838,C22H26N4O3,O=C(c1nc(-c2ccccc2)n2c1CCCCC2)N1CCN2C(=O)OCCC2C1,10.216132813333331,Z46480824
Z46480824,C22H26N4O3,CCCN(CC(=O)NC1CCCc2ccccc21)Cc1nnc(-c2ccco2)o1,10.216132813333331,Z1547428838
XS382710a,C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2,158.21858682222222,XS381375a
XS381375a,C21H23N5O2,CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,158.21858682222222,XS382710a
