COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,28.01521159,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,28.01521159,XS383328a
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,19.33039876333333,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,19.33039876333333,XS387290a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,35.80703287666667,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,35.80703287666667,XS381971a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,17.165664063333335,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,17.165664063333335,XS383254a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,40.71601888,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,40.71601888,XS384764a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,97.89025716666666,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,97.89025716666666,XS383696a
XS379510a,C11H16N2O2,Cc1c(C)[n+]([O-])c2c([n+]1[O-])CCCCC2,15.34131185,XS387138a
XS387138a,C11H16N2O2,CC(C)(CO)NC(=O)Nc1ccccc1,15.34131185,XS379510a
XS385794a,C13H16N2O2,O=C(C1CC1)N1CCC(Oc2cccnc2)C1,73.85767741,XS380178a
XS380178a,C13H16N2O2,CC12CCc3ccccc3C1(C)N(N)C(=O)O2,73.85767741,XS385794a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,19.777875976666667,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,19.777875976666667,XS382125a
XS382949a,C13H15N3O3,CCc1c(C(=O)O)nnn1Cc1cccc(OC)c1,30.651672363333333,XS385580a
XS385580a,C13H15N3O3,COCCCNC(=O)c1nnc(-c2ccccc2)o1,30.651672363333333,XS382949a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,54.18580566333334,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,54.18580566333334,XS384351a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,38.02833984333333,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,38.02833984333333,XS384806a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,12.995831706666666,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,12.995831706666666,XS383371a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,18.27954427,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,18.27954427,XS384748aCL
XS385153a,C12H14FNO2,CC(=O)c1ccc(N2CCOCC2)c(F)c1,40.3762142,XS383832a
XS383832a,C12H14FNO2,O=C(NCC1CCCO1)c1cccc(F)c1,40.3762142,XS385153a
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,35.15904134,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,35.15904134,XS111991b
XS386931a,C13H19N3O2,CC(NC(=O)NCC1CCCO1)c1cccnc1,65.86621663666668,XS384954a
XS384954a,C13H19N3O2,CC(C)C(=O)Nc1cccnc1N1CCOCC1,65.86621663666668,XS386931a
XS386598a,C18H26N4O2,O=C(CCC(=O)N1CCN(c2ccccn2)CC1)NC1CCCC1,53.19441570666667,XS386178a
XS386178a,C18H26N4O2,CNC(=O)N1CCC(C2CCN(C(=O)c3cnccc3C)C2)CC1,53.19441570666667,XS386598a
XS385978a,C19H24N4O3,CN(C)C(=O)CCc1ccc2c(c1)CN(C(=O)c1cnn(C)c1)CCO2,104.68147460333334,XS382834a
XS382834a,C19H24N4O3,Cc1cc(C(=O)N2CC(=O)N(CCc3ccccc3)CC(O)C2)n(C)n1,104.68147460333334,XS385978a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,63.42813476666667,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,63.42813476666667,XS386158a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,70.71990070333334,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,70.71990070333334,XS385532a
XS100402d,C18H23N5O3S,O=C(c1cccn1-c1nnc(N2CCCC2)s1)N1CCC2(CC1)OCCO2,73.42691732333334,XS382497a
XS382497a,C18H23N5O3S,Cc1nc(S(=O)(=O)N2CCC3(CC2)CC3NC(=O)c2ccncc2)cn1C,73.42691732333334,XS100402d
XS385782a,C15H20N4O,O=C(NCCCN1CCCC1)c1cn2ccccc2n1,17.141085613333335,XS385902a
XS385902a,C15H20N4O,Cc1ccn2cc(C(=O)NCCN3CCCC3)nc2c1,17.141085613333335,XS385782a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,19.623473306666668,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,19.623473306666668,XS382419a
XS382738a,C16H20FN3O3,O=C(c1ccccn1)N1CCC(F)(C(=O)N2CCOCC2)CC1,41.36494954333334,XS382778a
XS382778a,C16H20FN3O3,COc1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)cn1,41.36494954333334,XS382738a
XS385652a,C11H17N3O,CCn1ccnc(NC2CCCC2)c1=O,35.7703711,XS386982a
XS386982a,C11H17N3O,CC(C)NC(=O)N(C)Cc1ccncc1,35.7703711,XS385652a
XS379396a,C14H16N2O,Cc1ccc(CCNc2ccccc2)c[n+]1[O-],29.61237793,XS379276a
XS379276a,C14H16N2O,COc1ccccc1CNCc1cccnc1,29.61237793,XS379396a
XS384231a,C11H19N3O2S,Cc1c(S(=O)(=O)NC2CCCCC2)cnn1C,91.64909342666668,XS384269a
XS384269a,C11H19N3O2S,Cc1nn(C)cc1S(=O)(=O)NC1CCCCC1,91.64909342666668,XS384231a
XS383878a,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccc(F)cc2)CC1,60.00689941333334,XS116385b
XS116385b,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccccc2F)CC1,60.00689941333334,XS383878a
XS385488a,C18H24N4O2,CC(C)N(CCC(=O)N1CCNCC1)C(=O)c1ccc(C#N)cc1,57.46372884,XS386231a
XS386231a,C18H24N4O2,Cc1nccn1CC(=O)N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO,57.46372884,XS385488a
XS382627a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)CCn2cccn2)C1,31.682058916666666,XS382667a
XS382667a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)Cn2cc(C)cn2)C1,31.682058916666666,XS382627a
XS034229b,C12H12N2O2,O=C(O)Cn1c(C2CC2)nc2ccccc21,34.62858724,XS383753a
XS383753a,C12H12N2O2,CN1CC(c2nc3ccccc3o2)CC1=O,34.62858724,XS034229b
XS382064a,C13H19N3O,C=CCn1c(N2CCCC2)nc(C)c(C)c1=O,251.06670573333335,XS049540c
XS049540c,C13H19N3O,Cc1ccccc1N1CCN(CC(N)=O)CC1,251.06670573333335,XS382064a
XS383406a,C16H22N2O2,CC(=O)N1CCC(C(=O)N(C)Cc2ccccc2)CC1,77.46925292333333,XS382590a
XS382590a,C16H22N2O2,O=C(CCc1ccccc1)NCC1CCCCC(=O)N1,77.46925292333333,XS383406a
XS382008a,C15H21N3O2,CCOCC(=O)NCCc1cn(CC)c2ncccc12,94.34242677333332,XS383255a;XS381525a
XS383255a,C15H21N3O2,CCC(=O)N1CCC(C(=O)NCc2cccnc2)CC1,94.34242677333332,XS382008a;XS381525a
