COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,69.84548176666667,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,69.84548176666667,XS383696a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,20.85874756,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,20.85874756,XS384806a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,48.518881023333336,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,48.518881023333336,XS383756a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,23.74139038,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,23.74139038,XS386324a
XS383878a,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccc(F)cc2)CC1,16.035888673333332,XS116385b
XS116385b,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccccc2F)CC1,16.035888673333332,XS383878a
XS382310a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3ccncc3)C2)n1,33.30488281,XS382350a
XS382350a,C19H18N4O3,Cc1noc(-c2ccccc2OC2CCN(C(=O)c3cccnc3)C2)n1,33.30488281,XS382310a
XS382197a,C23H27N3O4,O=C(c1cccnc1)N1CCCC(COc2ccccc2C(=O)N2CCOCC2)C1,19.769928386666667,XS382273a
XS382273a,C23H27N3O4,Cc1cccc(C(=O)N2CCCC2COc2ccc(C(=O)N3CCOCC3)cc2)n1,19.769928386666667,XS382197a
XS385995a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2nccc3ccccc23)C[C@H]1CO,23.945676266666663,XS383682a;XS386075a
XS383682a,C17H21N3O2,Cc1onc(-c2ccccc2)c1C(=O)NC1CCN(C)CC1,23.945676266666663,XS385995a;XS386075a
XS386075a,C17H21N3O2,CN(C)[C@@H]1CN(C(=O)c2ccc3ncccc3c2)C[C@H]1CO,23.945676266666663,XS385995a;XS383682a
XS382434a,C17H19N3O4S,CNC(=O)[C@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,13.717601726666665,XS382454a;XS386137a
XS382454a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2cccnc2)CN1S(=O)(=O)c1ccccc1,13.717601726666665,XS382434a;XS386137a
XS386137a,C17H19N3O4S,CNC(=O)[C@@H]1C[C@H](Oc2ccccc2)CN1S(=O)(=O)c1cccnc1,13.717601726666665,XS382434a;XS382454a
XS379776a,C16H19N3O5,CCN1CC2([N+](=O)[O-])CC=C(Oc3ccccc3)C([N+](=O)[O-])(C1)C2,82.33555011666665,XS091620b
XS091620b,C16H19N3O5,COC1=CCC2([N+](=O)[O-])CN(Cc3ccccc3)CC1([N+](=O)[O-])C2,82.33555011666665,XS379776a
XS379446a,C21H18N2O2,Cc1ccc(C2=NN3C(C2)c2ccccc2OC3c2ccccc2)o1,32.796333006666664,XS381314a
XS381314a,C13H22N4O4S,COCCc1nc2c(c(=O)[nH]1)CCN(S(=O)(=O)N(C)C)CC2,32.796333006666664,XS379446a
XS379733a,C13H15N3O3,Cc1cc(C)c(COC(=O)c2nonc2N)c(C)c1,17.44627197,XS385020a
