COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS384193a,C9H11N5O2,Cc1c(Cn2cc([N+](=O)[O-])cn2)cnn1C,26.01253743333333,XS387079a
XS387079a,C9H11N5O2,CN(C)c1ncnc2c1ncn2CC(=O)O,26.01253743333333,XS384193a
XS384762a,C13H16N2O2,CNC(=O)[C@@H]1CCCN1C(=O)c1ccccc1,17.595926106666667,XS379717a;XS384911a;XS384947a
XS379717a,C13H16N2O2,CC(NC(=O)C(=O)NC1CC1)c1ccccc1,17.595926106666667,XS384762a;XS384911a;XS384947a
XS384911a,C13H16N2O2,CN(C)C(=O)C1CC(=O)N(c2ccccc2)C1,17.595926106666667,XS384762a;XS379717a;XS384947a
XS384947a,C13H16N2O2,CNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,17.595926106666667,XS384762a;XS379717a;XS384911a
XS384877a,C14H18N2O2,CN(C)C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,19.07534830666667,XS384985a
XS384985a,C14H18N2O2,Cc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,19.07534830666667,XS384877a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,143.22459636666667,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,143.22459636666667,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,38.2016569,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,38.2016569,XS380139a
XS387253a,C12H14N2O2,CC(=O)c1ccc(NC(=O)NC2CC2)cc1,45.07063720666667,XS380478a
XS380478a,C12H14N2O2,CCC1(C)Cc2nc(O)c(C#N)cc2CO1,45.07063720666667,XS387253a
XS386909a,C12H17N3O2,O=c1nc(N2CCOCC2)[nH]c2c1CCCC2,27.07559082,XS385543a
XS385543a,C12H17N3O2,CN1CCN(C(=O)c2cc(C3CC3)on2)CC1,27.07559082,XS386909a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,38.55871743333333,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,38.55871743333333,XS383254a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,38.25124023333333,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,38.25124023333333,XS384764a
XS382349a,C15H18N4O2,CN(C(=O)Cn1nc2n(c1=O)CCCC2)c1ccccc1,28.78626302,XS382489a
XS382489a,C15H18N4O2,Cc1ccc(CC(=O)N2CCn3c(nn(C)c3=O)C2)cc1,28.78626302,XS382349a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,37.59530924333333,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,37.59530924333333,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,37.59530924333333,XS384843a;XS384027a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,18.923808593333334,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,18.923808593333334,XS382125a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,59.95001953,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,59.95001953,XS384351a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,19.85973307333333,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,19.85973307333333,XS383756a
XS387084a,C13H18N2O,CCN(Cc1ccncc1)C(=O)C1CC1C,47.3336556,XS383199a
XS383199a,C13H18N2O,Cc1ccc(C(=O)N2CCN(C)CC2)cc1,47.3336556,XS387084a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,24.06431966,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,24.06431966,XS384748aCL
XS381136a,C15H16FN3O,Cn1nccc1C(=O)N1CCCC1c1cccc(F)c1,58.75145833333333,XS381176a
XS381176a,C15H16FN3O,Cn1ccc(C(=O)N2CCCC2c2cccc(F)c2)n1,58.75145833333333,XS381136a
