COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
Z1102642537,C15H16N4O2S2,Cc1cccc(NC(=O)C2CSCN2C(=O)c2cnsn2)c1C,11.484839844444444,Z1419099496
Z1419099496,C15H16N4O2S2,Cc1ncc(CS(=O)(=O)C(C)c2cn(-c3ccccc3)nn2)s1,11.484839844444444,Z1102642537
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,29.568909506666664,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,29.568909506666664,XS387290a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,26.301684570000003,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,26.301684570000003,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,25.138719076666668,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,25.138719076666668,XS380139a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,20.089962566666667,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,20.089962566666667,XS383254a
XS383347a,C13H15N3O2,Cc1noc(C)c1CC(=O)NCc1cccnc1,56.586118166666665,XS384119a
XS384119a,C13H15N3O2,COc1ccc(CNC(=O)c2ccnn2C)cc1,56.586118166666665,XS383347a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,33.467641603333334,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,33.467641603333334,XS384764a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,69.87504720000001,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,69.87504720000001,XS383696a
XS379510a,C11H16N2O2,Cc1c(C)[n+]([O-])c2c([n+]1[O-])CCCCC2,46.67636881666667,XS387138a
XS387138a,C11H16N2O2,CC(C)(CO)NC(=O)Nc1ccccc1,46.67636881666667,XS379510a
XS385794a,C13H16N2O2,O=C(C1CC1)N1CCC(Oc2cccnc2)C1,50.11031087333334,XS380178a
XS380178a,C13H16N2O2,CC12CCc3ccccc3C1(C)N(N)C(=O)O2,50.11031087333334,XS385794a
XS382949a,C13H15N3O3,CCc1c(C(=O)O)nnn1Cc1cccc(OC)c1,13.72697347,XS385580a
XS385580a,C13H15N3O3,COCCCNC(=O)c1nnc(-c2ccccc2)o1,13.72697347,XS382949a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,28.55065755333333,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,28.55065755333333,XS384351a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,20.271796876666667,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,20.271796876666667,XS384806a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,19.65946289,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,19.65946289,XS383371a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,21.742970376666666,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,21.742970376666666,XS384748aCL
XS385153a,C12H14FNO2,CC(=O)c1ccc(N2CCOCC2)c(F)c1,27.967005210000004,XS383832a
XS383832a,C12H14FNO2,O=C(NCC1CCCO1)c1cccc(F)c1,27.967005210000004,XS385153a
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,33.090113933333335,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,33.090113933333335,XS111991b
XS386931a,C13H19N3O2,CC(NC(=O)NCC1CCCO1)c1cccnc1,62.97187418666665,XS384954a
XS384954a,C13H19N3O2,CC(C)C(=O)Nc1cccnc1N1CCOCC1,62.97187418666665,XS386931a
XS386598a,C18H26N4O2,O=C(CCC(=O)N1CCN(c2ccccn2)CC1)NC1CCCC1,54.92513997666666,XS386178a
XS386178a,C18H26N4O2,CNC(=O)N1CCC(C2CCN(C(=O)c3cnccc3C)C2)CC1,54.92513997666666,XS386598a
XS385978a,C19H24N4O3,CN(C)C(=O)CCc1ccc2c(c1)CN(C(=O)c1cnn(C)c1)CCO2,25.607529296666662,XS382834a
XS382834a,C19H24N4O3,Cc1cc(C(=O)N2CC(=O)N(CCc3ccccc3)CC(O)C2)n(C)n1,25.607529296666662,XS385978a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,60.73462239666667,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,60.73462239666667,XS386158a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,37.54536133333333,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,37.54536133333333,XS385532a
XS100402d,C18H23N5O3S,O=C(c1cccn1-c1nnc(N2CCCC2)s1)N1CCC2(CC1)OCCO2,138.64333985333332,XS382497a
XS382497a,C18H23N5O3S,Cc1nc(S(=O)(=O)N2CCC3(CC2)CC3NC(=O)c2ccncc2)cn1C,138.64333985333332,XS100402d
XS382738a,C16H20FN3O3,O=C(c1ccccn1)N1CCC(F)(C(=O)N2CCOCC2)CC1,17.181095376666665,XS382778a
XS382778a,C16H20FN3O3,COc1ccc(C(=O)N2CCC(F)(C(=O)NC3CC3)CC2)cn1,17.181095376666665,XS382738a
XS385652a,C11H17N3O,CCn1ccnc(NC2CCCC2)c1=O,26.345247396666668,XS386982a
XS386982a,C11H17N3O,CC(C)NC(=O)N(C)Cc1ccncc1,26.345247396666668,XS385652a
XS379396a,C14H16N2O,Cc1ccc(CCNc2ccccc2)c[n+]1[O-],45.683230793333344,XS379276a
XS379276a,C14H16N2O,COc1ccccc1CNCc1cccnc1,45.683230793333344,XS379396a
XS384231a,C11H19N3O2S,Cc1c(S(=O)(=O)NC2CCCCC2)cnn1C,19.02919271,XS384269a
XS384269a,C11H19N3O2S,Cc1nn(C)cc1S(=O)(=O)NC1CCCCC1,19.02919271,XS384231a
XS385692a,C14H15N3O3,Cc1nc(-c2ccc(C(=O)N3CCOCC3)cc2)no1,15.640244140000002,XS387117a
XS387117a,C14H15N3O3,CC(NC(=O)Cn1ccc(C(=O)O)n1)c1ccccc1,15.640244140000002,XS385692a
XS383878a,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccc(F)cc2)CC1,33.75956705666667,XS116385b
XS116385b,C15H17FN4O,Cn1nccc1C(=O)N1CCN(c2ccccc2F)CC1,33.75956705666667,XS383878a
XS385488a,C18H24N4O2,CC(C)N(CCC(=O)N1CCNCC1)C(=O)c1ccc(C#N)cc1,20.133325196666668,XS386231a
XS386231a,C18H24N4O2,Cc1nccn1CC(=O)N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO,20.133325196666668,XS385488a
XS382627a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)CCn2cccn2)C1,24.977586263333333,XS382667a
XS382667a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)Cn2cc(C)cn2)C1,24.977586263333333,XS382627a
