COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS380754a,C25H27N3O5,COC(=O)c1ccc(C2c3c(O)n[nH]c3CC(C)(O)C2C(=O)Nc2ccc(C)cc2C)cc1,34.99798350333333,XS381979a
XS381979a,C25H27N3O5,CCOC(=O)CNC(=O)N1Cc2ccccc2-n2cccc2C1c1ccc(OC)c(OC)c1,34.99798350333333,XS380754a
XS380978a,C16H15N3O3,CCC(=O)Nc1cc(C)c(O)c(-c2nc3ncccc3o2)c1,29.59551167964176,XS381456a
XS381456a,C16H15N3O3,Cc1c(C)c2cc(-c3ccnc(N)n3)c(O)c(C)c2oc1=O,29.59551167964176,XS380978a
XS836891a,C17H17N5O2,N#Cc1cc(NC(=O)C2CCC(=O)N(Cc3ccccc3)C2)[nH]n1,22.010622828888888,XS838888a;XS838457a
XS838888a,C17H17N5O2,COc1ccc2nc(CN3NC(=O)CC3c3ccccc3)[nH]c2n1,22.010622828888888,XS836891a;XS838457a
XS838457a,C17H17N5O2,N#Cc1cnn(-c2ccc(C(=O)NC3COC4(CC4)C3)cc2)c1N,22.010622828888888,XS836891a;XS838888a
XS842258a,C20H22N4O2S,O=S(=O)(c1ccc2c(c1)CCC2)N1CCCC(c2nnc3ccccn23)C1,18.065033529444445,XS838461a;XS837160a
XS838461a,C20H22N4O2S,Cc1nn(C2CCS(=O)(=O)C2)c2ncc(-c3ccc4c(c3)CCNC4)cc12,18.065033529444445,XS842258a;XS837160a
XS837160a,C20H22N4O2S,Cc1nn(C)c(C)c1C(C)C(=O)Nc1nc(-c2ccc3c(c2)COC3)cs1,18.065033529444445,XS842258a;XS838461a
XS838212a,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,13.015493056666667,XS836559a
XS836559a,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,13.015493056666667,XS838212a
XS840736a,C17H23N5O2,CCN1CCN(C(=O)c2c[nH]c(=O)cc2C)CC1c1nccn1C,10.999146969012756,XS838925a;XS837536a
XS838925a,C17H23N5O2,COCCN(CC1CC=CCC1)C(=O)Nc1ccn2ncnc2c1,10.999146969012756,XS840736a;XS837536a
XS837536a,C17H23N5O2,Cc1nc(N2CC3(CCC3)CC2CC(=O)O)c2c(n1)c(C)nn2C,10.999146969012756,XS840736a;XS838925a
XS842116a,C14H18ClF3N2O2,CC(O)(CN1CCC(Oc2cncc(Cl)c2)CC1)C(F)(F)F,16.734207798602107,XS840737a
XS840737a,C17H14N4O4,O=C(NNC(=O)C1COc2ccccc2O1)c1cccc2cn[nH]c12,16.734207798602107,XS842116a
