COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
Z1785890181,C17H24N4O2S,Cc1ccccc1CS(=O)(=O)N1CCn2c(C(C)C)nnc2C1C,10.093470919999998,Z363006538
Z363006538,C17H24N4O2S,O=S(=O)(NC1CCCC1)c1ccc(NN=CC2CC=CCC2)nc1,10.093470919999998,Z1785890181
XS384762a,C13H16N2O2,CNC(=O)[C@@H]1CCCN1C(=O)c1ccccc1,15.47053711,XS379717a;XS384911a;XS384947a
XS379717a,C13H16N2O2,CC(NC(=O)C(=O)NC1CC1)c1ccccc1,15.47053711,XS384762a;XS384911a;XS384947a
XS384911a,C13H16N2O2,CN(C)C(=O)C1CC(=O)N(c2ccccc2)C1,15.47053711,XS384762a;XS379717a;XS384947a
XS384947a,C13H16N2O2,CNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,15.47053711,XS384762a;XS379717a;XS384911a
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,27.597631836666665,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,27.597631836666665,XS383328a
XS382307a,C14H18N2O3,COc1ccccc1CNC(=O)CN1CCCC1=O,16.88377929666667,XS383714a
XS383714a,C14H18N2O3,O=C(O)C1CCCCC1C(=O)NCc1ccccn1,16.88377929666667,XS382307a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,20.9424056,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,20.9424056,XS383877a
XS381485a,C17H20N6O2,CCn1cc(C(=O)N2CCN(c3nc4nc(C)ccc4o3)CC2)cn1,47.411889650000006,XS381522a;XS383385a
XS381522a,C17H20N6O2,CCn1cc(C(=O)N2CCCN(c3nc4ncccc4o3)CC2)cn1,47.411889650000006,XS381485a;XS383385a
XS383385a,C17H20N6O2,O=C(NCCC(=O)N1CCN(c2ccccn2)CC1)c1cnccn1,47.411889650000006,XS381485a;XS381522a
XS380032a,C19H14N6S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1,26.64011556,XS387154a
XS387154a,C15H19FN2O5S,O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,26.64011556,XS380032a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,20.63830729333333,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,20.63830729333333,XS381971a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,59.383305666666665,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,59.383305666666665,XS383696a
XS379510a,C11H16N2O2,Cc1c(C)[n+]([O-])c2c([n+]1[O-])CCCCC2,17.334801433333332,XS387138a
XS387138a,C11H16N2O2,CC(C)(CO)NC(=O)Nc1ccccc1,17.334801433333332,XS379510a
