COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
Z1414858744,C20H22N4O,COc1ccc2c(c1)CN(CCn1cncn1)C(c1ccccc1)C2,16.54583897666667,Z2967969689
Z2967969689,C20H22N4O,c1ccc(Oc2cccc(CN3CCCC(c4ncc[nH]4)C3)c2)nc1,16.54583897666667,Z1414858744
Z8878918886,C17H22N6O,CCC(C)Nc1c(-c2nncn2C)nc2cc3c(cn12)OCCC3,11.897432726666668,Z986190668
Z986190668,C17H22N6O,CCc1nc(C2CCCN2Cc2cn3c(C)cc(C)nc3n2)no1,11.897432726666668,Z8878918886
XS383328a,C13H17FN2O2,COCC(=O)N1CCN(c2ccccc2F)CC1,39.427101236666665,XS386828a
XS386828a,C13H17FN2O2,O=C(NCCc1ccc(F)cc1)N1CCOCC1,39.427101236666665,XS383328a
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,19.68731933666667,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,19.68731933666667,XS387290a
XS383877a,C18H21N3O,O=C(c1ccncc1)N1CCN(CCc2ccccc2)CC1,26.713479816666663,XS379506a
XS379506a,C18H21N3O,Cc1ccccc1CN1CCN(C(=O)c2ccncc2)CC1,26.713479816666663,XS383877a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,45.47481608333334,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,45.47481608333334,XS380139a
XS381485a,C17H20N6O2,CCn1cc(C(=O)N2CCN(c3nc4nc(C)ccc4o3)CC2)cn1,42.96720377666667,XS381522a;XS383385a
XS381522a,C17H20N6O2,CCn1cc(C(=O)N2CCCN(c3nc4ncccc4o3)CC2)cn1,42.96720377666667,XS381485a;XS383385a
XS383385a,C17H20N6O2,O=C(NCCC(=O)N1CCN(c2ccccn2)CC1)c1cnccn1,42.96720377666667,XS381485a;XS381522a
XS380032a,C19H14N6S,c1ccc(-c2nc3sc4c(ncn5nnnc45)c3c3c2CCCC3)cc1,19.814500326666668,XS387154a
XS387154a,C15H19FN2O5S,O=C(O)CCNC(=O)C1CCCN(S(=O)(=O)c2ccc(F)cc2)C1,19.814500326666668,XS380032a
XS381971a,C12H13N3O,c1ccc(-c2noc(C3CCCN3)n2)cc1,20.40412109333333,XS385024a
XS385024a,C12H13N3O,CN(C)C(=O)c1ccc(-n2cccc2)nc1,20.40412109333333,XS381971a
XS383254a,C13H16FNO2,O=C(Cc1ccc(F)cc1)NCC1CCCO1,49.68907064,XS383514a
XS383514a,C13H16FNO2,CC1CN(C(=O)c2cccc(F)c2)CC(C)O1,49.68907064,XS383254a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,16.91470703,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,16.91470703,XS384764a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,68.65791177666667,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,68.65791177666667,XS383696a
XS385794a,C13H16N2O2,O=C(C1CC1)N1CCC(Oc2cccnc2)C1,25.66172526,XS380178a
XS380178a,C13H16N2O2,CC12CCc3ccccc3C1(C)N(N)C(=O)O2,25.66172526,XS385794a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,18.7627181,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,18.7627181,XS382125a
XS384806a,C15H19N3O3,CN1CCN(C(=O)CN2C(=O)COc3ccccc32)CC1,36.22986328,XS386713a
XS386713a,C15H19N3O3,CCNC(=O)C1CC(=O)N(c2ccc(NC(C)=O)cc2)C1,36.22986328,XS384806a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,16.81161621,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,16.81161621,XS383371a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,48.37126139333333,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,48.37126139333333,XS384748aCL
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,18.00569336,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,18.00569336,XS111991b
XS386931a,C13H19N3O2,CC(NC(=O)NCC1CCCO1)c1cccnc1,40.30657226666667,XS384954a
XS384954a,C13H19N3O2,CC(C)C(=O)Nc1cccnc1N1CCOCC1,40.30657226666667,XS386931a
XS386598a,C18H26N4O2,O=C(CCC(=O)N1CCN(c2ccccn2)CC1)NC1CCCC1,38.25998209666667,XS386178a
XS386178a,C18H26N4O2,CNC(=O)N1CCC(C2CCN(C(=O)c3cnccc3C)C2)CC1,38.25998209666667,XS386598a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,24.38007324333333,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,24.38007324333333,XS385532a
XS100402d,C18H23N5O3S,O=C(c1cccn1-c1nnc(N2CCCC2)s1)N1CCC2(CC1)OCCO2,16.499026693333334,XS382497a
XS382497a,C18H23N5O3S,Cc1nc(S(=O)(=O)N2CCC3(CC2)CC3NC(=O)c2ccncc2)cn1C,16.499026693333334,XS100402d
XS384231a,C11H19N3O2S,Cc1c(S(=O)(=O)NC2CCCCC2)cnn1C,46.13665527333333,XS384269a
XS384269a,C11H19N3O2S,Cc1nn(C)cc1S(=O)(=O)NC1CCCCC1,46.13665527333333,XS384231a
XS382627a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)CCn2cccn2)C1,18.358038736666668,XS382667a
XS382667a,C18H28N4O3,CC(=O)N(C1CCOCC1)C1CCCN(C(=O)Cn2cc(C)cn2)C1,18.358038736666668,XS382627a
XS034229b,C12H12N2O2,O=C(O)Cn1c(C2CC2)nc2ccccc21,31.368706053333334,XS383753a
XS383753a,C12H12N2O2,CN1CC(c2nc3ccccc3o2)CC1=O,31.368706053333334,XS034229b
XS382008a,C15H21N3O2,CCOCC(=O)NCCc1cn(CC)c2ncccc12,16.85440918,XS383255a;XS381525a
XS383255a,C15H21N3O2,CCC(=O)N1CCC(C(=O)NCc2cccnc2)CC1,16.85440918,XS382008a;XS381525a
XS381525a,C15H21N3O2,O=C(Nc1ccc(OC2CCNCC2)nc1)C1CCC1,16.85440918,XS382008a;XS383255a
XS102846b,C8H7N3O,Oc1cc(-c2ccncc2)n[nH]1,14.44815267,XS381043a
XS381043a,C8H7N3O,Oc1ccc(-c2nc[nH]n2)cc1,14.44815267,XS102846b
XS384807a,C11H12N2O2,O=C1CCC(C(=O)Nc2ccccc2)N1,26.485817056666665,XS385097a;BD007409c
XS385097a,C11H12N2O2,O=C(Nc1ccccc1)C(=O)NC1CC1,26.485817056666665,XS384807a;BD007409c
BD007409c,C11H12N2O2,CC(=O)N1CCC(=O)Nc2ccccc21,26.485817056666665,XS384807a;XS385097a
XS382332a,C12H17N3O,Cc1nccn1C1CN(C(=O)C2CCC2)C1,15.257835286666666,XS385132a;XS386813a
XS385132a,C12H17N3O,CC(=O)Nc1c(C#N)c(C(C)(C)C)cn1C,15.257835286666666,XS382332a;XS386813a
XS386813a,C12H17N3O,Cc1nc2c(c(N3CCOCC3)n1)CCC2,15.257835286666666,XS382332a;XS385132a
XS382412a,C12H15N5O,Cc1nccn1C1CN(C(=O)c2ccnn2C)C1,23.73654622333333,XS384313a
XS384313a,C12H15N5O,O=C(NC1CCCCC1)c1nc2ncccn2n1,23.73654622333333,XS382412a
XS386455a,C22H31N3O4,CC(=O)N1CCC(CC(=O)N2CC(=O)N(CCc3ccccc3)CC(O)C2)CC1,13.537793783333337,XS386833a
XS386833a,C22H31N3O4,COCC(=O)N1CCCC(C(=O)N[C@@H]2CCCC[C@H]2NC(=O)c2ccccc2)C1,13.537793783333337,XS386455a
XS385678a,C17H25N3O2,CN1CCC(OC2CCN(C(=O)c3ccccn3)CC2)CC1,23.607120766666668,XS383813aCL
XS383813aCL,C17H25N3O2,CC(C)C[C@H](N)C(=O)N1C[C@@H]2C[C@@H](C1)c1cccc(=O)n1C2,23.607120766666668,XS385678a
XS387200a,C18H21N3O2,COc1ccc(C(=O)N2CCN(Cc3ccncc3)CC2)cc1,35.689741213333335,XS387277a;XS387315a;XS379282a
XS387277a,C18H21N3O2,COc1ccc(C(=O)N2CCN(Cc3cccnc3)CC2)cc1,35.689741213333335,XS387200a;XS387315a;XS379282a
XS387315a,C18H21N3O2,COc1cccc(C(=O)N2CCN(Cc3ccncc3)CC2)c1,35.689741213333335,XS387200a;XS387277a;XS379282a
XS379282a,C18H21N3O2,COc1ccccc1CN1CCN(C(=O)c2cccnc2)CC1,35.689741213333335,XS387200a;XS387277a;XS387315a
XS379352a,C16H19N5O2,CC(=O)N=C(NC(C)=O)Nc1nc(C)c2cc(C)cc(C)c2n1,22.132395833333334,XS380482a
XS380482a,C16H19N5O2,O=C1CCCCC1N(C(=O)CCn1cnnn1)c1ccccc1,22.132395833333334,XS379352a
XS382049a,C18H22N4O2,CCN(Cc1ccncc1)C1CN(C(=O)c2ccc(OC)nc2)C1,34.679786783333334,XS385897a
XS385897a,C18H22N4O2,COc1ccc(CN2CCN(C(=O)c3ccc(C)nc3)CC2)cn1,34.679786783333334,XS382049a
XS381589a,C18H25N3O3,Cc1oc2ncn(C)c(=O)c2c1C(=O)N(C(C)C)C1CCCCC1,33.97526367333333,XS385917a
XS385917a,C18H25N3O3,COCC(=O)N1CCC(C2CCN(C(=O)c3ccncc3)CC2)C1,33.97526367333333,XS381589a
XS384255a,C15H22BrN5O,CCn1nc(C)c(NC(=O)CCn2nc(C)c(Br)c2C)c1C,21.28136556,XS384275a
XS384275a,C15H22BrN5O,Cc1cc(C)n(CCCNC(=O)CCn2cc(Br)c(C)n2)n1,21.28136556,XS384255a
XS385779a,C19H24N4O2,COc1ccc(CN2CCN(C(=O)NCc3ccccc3)CC2)cn1,17.861835936666665,XS385819a;XS385859a
XS385819a,C19H24N4O2,CCOc1ccc(CN2CCN(C(=O)c3ccc(C)nc3)CC2)cn1,17.861835936666665,XS385779a;XS385859a
XS385859a,C19H24N4O2,CCOc1ccc(CN2CCN(C(=O)Cc3cccnc3)CC2)cn1,17.861835936666665,XS385779a;XS385819a
XS383299a,C18H21N5O3,CC(NC(=O)CCn1cnc2c1c(=O)n(C)c(=O)n2C)c1ccccc1,47.84643554666666,XS386099a
XS386099a,C18H21N5O3,O=C(Cc1ccccc1)N1CC(n2cc(C(=O)N3CCOCC3)nn2)C1,47.84643554666666,XS383299a
XS381868a,C11H20N4O,CCCNC(=O)NCc1c(C)nn(C)c1C,32.67459472666667,XS381980a
XS381980a,C11H20N4O,Cc1nn(C)c(C)c1CNC(=O)NC(C)C,32.67459472666667,XS381868a
XS383574a,C15H16N2O,O=C(CCc1ccccc1)NCc1cccnc1,22.57076823,XS383725a
XS383725a,C15H16N2O,O=C(CCc1ccccc1)NCc1ccncc1,22.57076823,XS383574a
XS385389a,C14H18N2O2,CCCNC(=O)C1Cc2ccccc2N1C(C)=O,28.870475260000003,XS383376a
XS383376a,C14H18N2O2,O=C(NCCC(=O)N1CCCC1)c1ccccc1,28.870475260000003,XS385389a
