COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS385730a,C14H20N2O2,CC(C)Oc1cncc(C(=O)N2CCCCC2)c1,10.287356336666663,XS383476a
XS383476a,C14H20N2O2,COCC(=O)N1CCN(Cc2ccccc2)CC1,10.287356336666663,XS385730a
XS386729a,C19H29N3O2,CC(=O)N(Cc1cccnc1)C1CCCN(C(=O)CCC(C)C)C1,13.40614106,XS382507a
XS382507a,C19H29N3O2,CCC(=O)N(C1CCOCC1)C1CCN(Cc2ccncc2)CC1,13.40614106,XS386729a
XS383310a,C20H20N6O2,COc1cccc2c1ccn2CCNC(=O)C(c1ccccc1)n1cnnn1,10.159306856666666,XS386332a
XS386332a,C20H20N6O2,O=C(c1ncccn1)N1[C@H]2CC[C@@H]1Cn1c(nn(Cc3ccccc3)c1=O)C2,10.159306856666666,XS383310a
XS385714a,C17H18N2O3,COc1ccc(C(=O)N2CCC(Oc3cccnc3)C2)cc1,10.575652995555554,XS385754a
XS385754a,C17H18N2O3,COc1ccccc1C(=O)N1CCC(Oc2cccnc2)C1,10.575652995555554,XS385714a
XS386251a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2nccc3ccccc23)CC1=O,12.661619141111112,XS386291a
XS386291a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2ccc3ccccc3n2)CC1=O,12.661619141111112,XS386251a
XS382332a,C12H17N3O,Cc1nccn1C1CN(C(=O)C2CCC2)C1,10.114703558888888,XS385132a;XS386813a
XS385132a,C12H17N3O,CC(=O)Nc1c(C#N)c(C(C)(C)C)cn1C,10.114703558888888,XS382332a;XS386813a
XS386813a,C12H17N3O,Cc1nc2c(c(N3CCOCC3)n1)CCC2,10.114703558888888,XS382332a;XS385132a
XS382372a,C13H19N3O,Cc1nccn1C1CN(C(=O)C2CCCC2)C1,10.409838542222223,XS383971a
XS383971a,C13H19N3O,CC(NC(=O)NC1CCCC1)c1ccccn1,10.409838542222223,XS382372a
XS386986a,C13H12FN5,Cc1nnc2ccc(NCc3ccc(F)cc3)nn12,11.406395169108244,XS387026a
XS387026a,C13H12FN5,Cc1nnc2ccc(NCc3ccccc3F)nn12,11.406395169108244,XS386986a
XS379776a,C16H19N3O5,CCN1CC2([N+](=O)[O-])CC=C(Oc3ccccc3)C([N+](=O)[O-])(C1)C2,11.577223525555556,XS091620b
XS091620b,C16H19N3O5,COC1=CCC2([N+](=O)[O-])CN(Cc3ccccc3)CC1([N+](=O)[O-])C2,11.577223525555556,XS379776a
XS383979a,C15H22N2O2,CC(Oc1ccccc1)C(=O)NC1CCN(C)CC1,10.265028718393184,XS385843a;XS385883a;XS385923a
XS385843a,C15H22N2O2,CN(CCc1ccccn1)C(=O)CC1CCOCC1,10.265028718393184,XS383979a;XS385883a;XS385923a
XS385883a,C15H22N2O2,CC(C(=O)NCCc1ccccn1)C1CCOCC1,10.265028718393184,XS383979a;XS385843a;XS385923a
XS385923a,C15H22N2O2,CC(C(=O)N(C)Cc1cccnc1)C1CCOCC1,10.265028718393184,XS383979a;XS385843a;XS385883a
XS383595a,C15H14N4O,C[C@H](NC(=O)c1cccnc1)c1nc2ccccc2[nH]1,10.391144314444444,XS383634a
XS383634a,C15H14N4O,C[C@H](NC(=O)c1ccncc1)c1nc2ccccc2[nH]1,10.391144314444444,XS383595a
XS385408a,C15H25N3O2,CCN(CC)CCCNC(=O)c1noc2c1CCCC2,16.53925520777778,XS386143a
XS386143a,C15H25N3O2,COCc1ncc(C)n1CCNC(=O)C1CCCCC1,16.53925520777778,XS385408a
XS382400a,C19H23N3O2,O=C(N[C@@H]1CN(Cc2ccncc2)CC[C@@H]1CO)c1ccccc1,13.490603341809358,XS385823a
XS385823a,C19H23N3O2,Cn1nc(C2CCN(C(=O)c3ccccc3)CC2)c2c1CCOC2,13.490603341809358,XS382400a
XS384042a,C16H24N4O,O=C(NC1CCCC1)N1CCN(Cc2ccncc2)CC1,10.768085937777776,XS384080a
XS384080a,C16H24N4O,O=C(NC1CCCC1)N1CCN(Cc2ccccn2)CC1,10.768085937777776,XS384042a
Z2034420269,C17H20N2O3S,COc1ccccc1S(=O)(=O)NCC1NCCc2ccccc21,24.567383463333336,Z3642336112
Z3642336112,C17H20N2O3S,CCOc1cccnc1S(=O)(=O)N1Cc2ccccc2C1CC,24.567383463333336,Z2034420269
Z2493443321,C20H20N4O2,COc1ccc2c(c1)C(C(=O)Nc1cnccc1-n1cccn1)CCC2,17.77001671111111,Z908024678
Z908024678,C20H20N4O2,CC(NC(=O)Cc1cn(C)c2ccccc12)c1ccc2[nH]c(=O)[nH]c2c1,17.77001671111111,Z2493443321
Z1567291489,C13H15BrN4O2,Cc1cc2c(cc1Br)N(Cc1nc(=O)[nH][nH]1)CC(C)O2,10.978902394707482,Z3016311023
Z3016311023,C13H15BrN4O2,CC(CC(=O)Nc1ncc(Br)cc1CO)n1cccn1,10.978902394707482,Z1567291489
Z2294561030,C20H26N2O2,O=C(Nc1c2c(cc3c1CCC3)CCC2)NC1CC12CCOCC2,16.329273437777776,Z4230448137
Z4230448137,C20H26N2O2,COCCC1CCCN(c2cccc(=O)n2Cc2ccccc2)C1,16.329273437777776,Z2294561030
XS382710a,C21H23N5O2,Cn1nc(CCNC(=O)c2n[nH]c3c2CCc2ccccc2-3)c2c1CCOC2,232.8185208333333,XS381375a
XS381375a,C21H23N5O2,CCCCNc1nc2cc(OC)c(OC)cc2c2nc(-c3ccccc3)nn12,232.8185208333333,XS382710a
