COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS387290a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2cccc(F)c2)CC1,37.459978840000005,XS387328a
XS387328a,C15H19FN2O2,CN(C)C(=O)C1CCN(C(=O)c2ccc(F)cc2)CC1,37.459978840000005,XS387290a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,50.1037728,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,50.1037728,XS380139a
XS381485a,C17H20N6O2,CCn1cc(C(=O)N2CCN(c3nc4nc(C)ccc4o3)CC2)cn1,19.71396647,XS381522a;XS383385a
XS381522a,C17H20N6O2,CCn1cc(C(=O)N2CCCN(c3nc4ncccc4o3)CC2)cn1,19.71396647,XS381485a;XS383385a
XS383385a,C17H20N6O2,O=C(NCCC(=O)N1CCN(c2ccccn2)CC1)c1cnccn1,19.71396647,XS381485a;XS381522a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,15.448819986666669,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,15.448819986666669,XS384764a
XS383696a,C17H16N4O3,O=C(NCc1nnc2ccccn12)c1ccc2c(c1)OCCCO2,36.14769856666666,XS382848a
XS382848a,C17H16N4O3,CC#CC(=O)N1CCN(C(=O)c2n[nH]c(=O)c3ccccc23)CC1,36.14769856666666,XS383696a
XS379510a,C11H16N2O2,Cc1c(C)[n+]([O-])c2c([n+]1[O-])CCCCC2,12.941486816666668,XS387138a
XS387138a,C11H16N2O2,CC(C)(CO)NC(=O)Nc1ccccc1,12.941486816666668,XS379510a
XS385794a,C13H16N2O2,O=C(C1CC1)N1CCC(Oc2cccnc2)C1,17.729602863333334,XS380178a
XS380178a,C13H16N2O2,CC12CCc3ccccc3C1(C)N(N)C(=O)O2,17.729602863333334,XS385794a
XS382949a,C13H15N3O3,CCc1c(C(=O)O)nnn1Cc1cccc(OC)c1,21.48803548333333,XS385580a
XS385580a,C13H15N3O3,COCCCNC(=O)c1nnc(-c2ccccc2)o1,21.48803548333333,XS382949a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,20.525797526666665,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,20.525797526666665,XS384351a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,18.728636066666667,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,18.728636066666667,XS384748aCL
XS111991b,C12H18N2O3,Cc1ccc(C(=O)NCCN2CCOCC2)o1,15.877693683333334,XS384583a
XS384583a,C12H18N2O3,COCCNC(=O)c1noc2c1CC(C)CC2,15.877693683333334,XS111991b
XS386931a,C13H19N3O2,CC(NC(=O)NCC1CCCO1)c1cccnc1,64.59056640666667,XS384954a
XS384954a,C13H19N3O2,CC(C)C(=O)Nc1cccnc1N1CCOCC1,64.59056640666667,XS386931a
XS385978a,C19H24N4O3,CN(C)C(=O)CCc1ccc2c(c1)CN(C(=O)c1cnn(C)c1)CCO2,15.106896159999998,XS382834a
XS382834a,C19H24N4O3,Cc1cc(C(=O)N2CC(=O)N(CCc3ccccc3)CC(O)C2)n(C)n1,15.106896159999998,XS385978a
XS386158a,C21H23N5O4,COCc1c(C(=O)N2CCc3c(c(NC(=O)c4ccccc4)nn3C)C2)noc1C,39.83969564,XS382914a
XS382914a,C21H23N5O4,Cc1cnn(Cc2cc(C(=O)N3CC(=O)N(Cc4ccccc4)CC(O)C3)no2)c1,39.83969564,XS386158a
XS385532a,C18H16N4O2,O=C(Cn1nc(-c2ccccc2)ccc1=O)NCc1cccnc1,82.39845865666666,XS387124a
XS387124a,C18H16N4O2,Cc1nn(C)c(C)c1N1C(=O)c2cccc3c(N)ccc(c23)C1=O,82.39845865666666,XS385532a
XS100402d,C18H23N5O3S,O=C(c1cccn1-c1nnc(N2CCCC2)s1)N1CCC2(CC1)OCCO2,22.594908853333333,XS382497a
XS382497a,C18H23N5O3S,Cc1nc(S(=O)(=O)N2CCC3(CC2)CC3NC(=O)c2ccncc2)cn1C,22.594908853333333,XS100402d
XS385782a,C15H20N4O,O=C(NCCCN1CCCC1)c1cn2ccccc2n1,17.112633463333335,XS385902a
XS385902a,C15H20N4O,Cc1ccn2cc(C(=O)NCCN3CCCC3)nc2c1,17.112633463333335,XS385782a
XS382419a,C15H21N3O2,O=C(c1cc(C2CC2)[nH]n1)N1CCC2(CCC2O)CC1,22.83228841,XS387301a
XS387301a,C15H21N3O2,O=C(N[C@@H]1CN(Cc2cccnc2)C[C@H]1CO)C1CC1,22.83228841,XS382419a
XS379396a,C14H16N2O,Cc1ccc(CCNc2ccccc2)c[n+]1[O-],74.74260091000001,XS379276a
XS379276a,C14H16N2O,COc1ccccc1CNCc1cccnc1,74.74260091000001,XS379396a
XS384231a,C11H19N3O2S,Cc1c(S(=O)(=O)NC2CCCCC2)cnn1C,48.723455403333325,XS384269a
XS384269a,C11H19N3O2S,Cc1nn(C)cc1S(=O)(=O)NC1CCCCC1,48.723455403333325,XS384231a
