COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,257.79407553333334,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,257.79407553333334,XS381207a
XS386909a,C12H17N3O2,O=c1nc(N2CCOCC2)[nH]c2c1CCCC2,17.12403320333333,XS385543a
XS385543a,C12H17N3O2,CN1CCN(C(=O)c2cc(C3CC3)on2)CC1,17.12403320333333,XS386909a
XS384195a,C12H12N4O2,Cc1cc(C)c2c(N3C(=O)CCC3=O)n[nH]c2n1,28.003623046666668,XS382272a
XS382272a,C12H12N4O2,CCCc1cc(O)n2nc(-c3ccco3)nc2n1,28.003623046666668,XS384195a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,19.75136230333333,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,19.75136230333333,XS384764a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,45.61250163,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,45.61250163,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,45.61250163,XS384843a;XS384027a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,25.675628256666663,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,25.675628256666663,XS382125a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,19.61354004,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,19.61354004,XS384351a
XS383756a,C11H17N3O,CC1CC1C(=O)NCCCn1cccn1,31.931604816666677,XS383793a
XS383793a,C11H17N3O,Cc1cc(CNC(=O)C2CC2C)nn1C,31.931604816666677,XS383756a
XS387084a,C13H18N2O,CCN(Cc1ccncc1)C(=O)C1CC1C,41.319925133333335,XS383199a
XS383199a,C13H18N2O,Cc1ccc(C(=O)N2CCN(C)CC2)cc1,41.319925133333335,XS387084a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,72.61434083333333,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,72.61434083333333,XS383371a
XS384748aCL,C15H22N2O2,CC1CN(CCC(=O)Nc2ccccc2)CC(C)O1,20.701923826666665,XS381756a
XS381756a,C15H22N2O2,COc1ccccc1CNC1CCN(C(C)=O)CC1,20.701923826666665,XS384748aCL
XS381136a,C15H16FN3O,Cn1nccc1C(=O)N1CCCC1c1cccc(F)c1,76.0811914,XS381176a
XS381176a,C15H16FN3O,Cn1ccc(C(=O)N2CCCC2c2cccc(F)c2)n1,76.0811914,XS381136a
XS385756a,C17H18N2O2,O=C(c1cccnc1)N1CCC(OCc2ccccc2)C1,102.40071126666668,XS385916a
