COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS384877a,C14H18N2O2,CN(C)C(=O)[C@@H]1CCCN1C(=O)c1ccccc1,23.607788086666663,XS384985a
XS384985a,C14H18N2O2,Cc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,23.607788086666663,XS384877a
XS381207a,C18H19N3O,Cc1nc(N2CCc3ccccc32)nc2c1C(=O)CC(C)C2,386.2373437333333,XS382427a
XS382427a,C15H20FN3O2,CN1C[C@@H]2CN(C(=O)NCc3ccc(F)cc3)C[C@@H](C1)O2,386.2373437333333,XS381207a
XS380139a,C16H19N3O3,O=C(C1CCCO1)N1CCN(c2nc3ccccc3o2)CC1,30.07811198,XS380175a
XS380175a,C16H19N3O3,O=C(C1CCOC1)N1CCN(c2nc3ccccc3o2)CC1,30.07811198,XS380139a
XS387253a,C12H14N2O2,CC(=O)c1ccc(NC(=O)NC2CC2)cc1,18.29827311333333,XS380478a
XS380478a,C12H14N2O2,CCC1(C)Cc2nc(O)c(C#N)cc2CO1,18.29827311333333,XS387253a
XS384195a,C12H12N4O2,Cc1cc(C)c2c(N3C(=O)CCC3=O)n[nH]c2n1,16.634869793333333,XS382272a
XS382272a,C12H12N4O2,CCCc1cc(O)n2nc(-c3ccco3)nc2n1,16.634869793333333,XS384195a
XS383347a,C13H15N3O2,Cc1noc(C)c1CC(=O)NCc1cccnc1,22.411795246666667,XS384119a
XS384119a,C13H15N3O2,COc1ccc(CNC(=O)c2ccnn2C)cc1,22.411795246666667,XS383347a
XS384764a,C14H18N2O3,COc1ccccc1N1CC(C(=O)N(C)C)CC1=O,29.08897461,XS384879a
XS384879a,C14H18N2O3,COc1ccc(N2CC(C(=O)N(C)C)CC2=O)cc1,29.08897461,XS384764a
XS382349a,C15H18N4O2,CN(C(=O)Cn1nc2n(c1=O)CCCC2)c1ccccc1,18.60169108,XS382489a
XS382489a,C15H18N4O2,Cc1ccc(CC(=O)N2CCn3c(nn(C)c3=O)C2)cc1,18.60169108,XS382349a
XS384843a,C12H14N2O3,CCNC(=O)CN1C(=O)COc2ccccc21,45.65221191333333,XS384027a;XS384951a
XS384027a,C12H14N2O3,O=C(Nc1ccc2c(c1)OCCO2)NC1CC1,45.65221191333333,XS384843a;XS384951a
XS384951a,C12H14N2O3,CNC(=O)CN1C(=O)C(C)Oc2ccccc21,45.65221191333333,XS384843a;XS384027a
XS382125a,C14H20N4O,Cc1ccnc(N2CCC(C(=O)NC3CC3)CC2)n1,47.61498535333333,XS385491a
XS385491a,C14H20N4O,Cc1cc(C2CCCN2Cc2cn(C)nc2C)no1,47.61498535333333,XS382125a
XS384351a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCCC(C)C2)c1C,57.85511067666666,XS384426a
XS384426a,C13H23N3O2S,CCn1nc(C)c(S(=O)(=O)N2CCC(C)CC2)c1C,57.85511067666666,XS384351a
XS383371a,C13H15NO3,CC(=O)c1ccc(NC(=O)C2CCCO2)cc1,25.43580892,PY000027c
PY000027c,C13H15NO3,Cc1ccc(CN2CC(C(=O)O)CC2=O)cc1,25.43580892,XS383371a
XS382892a,C17H18N6O,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1ccncc1,18.206313476666665,XS382932a
XS382932a,C17H18N6O,O=C(NC1CCN(c2nnc3ccccn23)CC1)c1cccnc1,18.206313476666665,XS382892a
PK001469c,C9H13N5O,Cn1ncc2c(NCCCO)ncnc21,25.63304199333333,PK001470c
PK001470c,C9H13N5O,CC(O)CNc1ncnc2c1cnn2C,25.63304199333333,PK001469c
XS381866aCL,C13H17N3O2,NCCC1CN(c2nc3ccccc3o2)CCO1,23.791923826666665,XS387370a
XS387370a,C13H17N3O2,CNC(=O)NC1CCN(c2ccc(C)cc2)C1=O,23.791923826666665,XS381866aCL
XS383612a,C14H14N2O2,O=C(COc1ccccc1)NCc1ccncc1,42.35389485666666,XS383760a
XS383760a,C14H14N2O2,COc1ccccc1C(=O)NCc1ccncc1,42.35389485666666,XS383612a
XS384772a,C15H20N2O2,CC(C)C(=O)NC1CCN(C(=O)c2ccccc2)C1,36.16380859333333,XS385642a;XS382477a
XS385642a,C15H20N2O2,O=C(Cc1cccnc1)N1CCC(OCC2CC2)C1,36.16380859333333,XS384772a;XS382477a
XS382477a,C15H20N2O2,O=C1CCCCC(C(=O)NCCc2ccccc2)N1,36.16380859333333,XS384772a;XS385642a
XS384811a,C14H19N3O2,O=C(Nc1cccnc1N1CCOCC1)C1CCC1,34.89591146666667,XS385920a
XS385920a,C14H19N3O2,CN1C(=O)CCCCC1C(=O)NCc1ccncc1,34.89591146666667,XS384811a
XS384035a,C14H21N3O,Cc1cccc(N2CCN(CC(N)=O)CC2)c1C,18.881251626666664,XS383244a
XS383244a,C14H21N3O,CN1CCN(C(=O)c2ccc(N(C)C)cc2)CC1,18.881251626666664,XS384035a
XS143793b,C9H9N3O2,Cc1cc2ncc(C(=O)O)c(C)n2n1,15.976407876666665,XS387148a
XS387148a,C9H9N3O2,Cc1cc(C(=O)O)c2cnn(C)c2n1,15.976407876666665,XS143793b
XS383490a,C18H19N3O2,O=C(Nc1ccncc1)C1CCN(C(=O)c2ccccc2)CC1,80.37863608333333,XS383523a
XS383523a,C18H19N3O2,O=C(Nc1cccnc1)C1CCN(C(=O)c2ccccc2)CC1,80.37863608333333,XS383490a
XS386324a,C19H32N4O2,Cn1cncc1C(=O)N(CCCN1CCCCCC1)C1CCOCC1,19.54552409,XS386364a
XS386364a,C19H32N4O2,Cn1ccc(C(=O)N(CCCN2CCCCCC2)C2CCOCC2)n1,19.54552409,XS386324a
XS386304a,C16H28N4O3S,Cc1nc(S(=O)(=O)N(CCN2CCCC2)C2CCOCC2)cn1C,36.72984537666667,XS387487aCL
XS387487aCL,C16H28N4O3S,Cc1noc(C)c1S(=O)(=O)N(CCN1CCCC1)C1CCCNC1,36.72984537666667,XS386304a
XS381312a,C21H26N4O3,COCCNC(=O)CCCn1c(C)c2cnn(-c3ccccc3)c(=O)c2c1C,41.13333983333333,XS382840a;XS382000a
XS382840a,C21H26N4O3,CNC(=O)C1CN(Cc2ccccc2)CC12CN(C(=O)c1c(C)noc1C)C2,41.13333983333333,XS381312a;XS382000a
XS382000a,C21H26N4O3,COC(=O)c1cnn2c(NC3CCCCCC3)c(-c3cccc(OC)c3)[nH]c12,41.13333983333333,XS381312a;XS382840a
XS385964a,C21H27N3O4,O=C(C1CCOCC1)N1CCC2C(=O)N(Cc3ccccc3)CC(=O)N2CC1,29.09151367333333,XS385462a
XS385462a,C21H27N3O4,CCOC(=O)c1cc(-c2ccccc2)n(CCC(=O)NN2CCOCC2)c1C,29.09151367333333,XS385964a
XS382428aCL,C10H11N3O,Cc1ccc(-c2noc(CN)n2)cc1,44.72278157666667,XS382508a
XS382508a,C10H11N3O,CNCc1nc(-c2ccccc2)no1,44.72278157666667,XS382428aCL
XS385652a,C11H17N3O,CCn1ccnc(NC2CCCC2)c1=O,17.481927083333332,XS386982a
XS386982a,C11H17N3O,CC(C)NC(=O)N(C)Cc1ccncc1,17.481927083333332,XS385652a
XS382348aCL,C13H15N3O2,COc1ccc(-c2noc(C3CCCN3)n2)cc1,137.48816733333334,XS382178a
XS382178a,C13H15N3O2,Cn1cc(C(=O)N2CCOCC2)c2cccnc21,137.48816733333334,XS382348aCL
XS381859a,C16H22N2O3,CCOCCCNC(=O)C1Cc2ccccc2N1C(C)=O,401.0738867,XS382568a
XS382568a,C16H22N2O3,COCC(=O)N1CCC(Cc2ccc(C(N)=O)cc2)CC1,401.0738867,XS381859a
XS386071a,C17H22N4O2,Cc1cc(C(=O)N[C@@H]2CN(Cc3ccccc3)C[C@H]2CO)[nH]n1,25.08809733,XS386151a;XS385911a
XS386151a,C17H22N4O2,Cn1nccc1C(=O)N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO,25.08809733,XS386071a;XS385911a
XS385911a,C17H22N4O2,Cc1noc(C)c1CN1CCCC(NC(=O)c2cccnc2)C1,25.08809733,XS386071a;XS386151a
XS386251a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2nccc3ccccc23)CC1=O,29.37497721333333,XS386291a
XS386291a,C18H21N3O4,COCCN1CC(O)CN(C(=O)c2ccc3ccccc3n2)CC1=O,29.37497721333333,XS386251a
XS382102a,C18H27N3O5S,CC1CCN(S(=O)(=O)c2cccn(CC(=O)NCC3CCCO3)c2=O)CC1,30.387796223333336,XS025364b
XS025364b,C18H27N3O5S,O=C(Cn1cccc(S(=O)(=O)N2CCCCCC2)c1=O)NCC1CCCO1,30.387796223333336,XS382102a
XS382709a,C21H32N4O3,Cc1cc(C)n(CC(=O)N2CCCC(N(C(=O)C3CC3)C3CCOCC3)C2)n1,37.12544596666667,XS382749a
XS382749a,C21H32N4O3,Cc1cnn(CCC(=O)N2CCCC(N(C(=O)C3CC3)C3CCOCC3)C2)c1,37.12544596666667,XS382709a
XS384311a,C15H24N6O4S2,CCn1cc(S(=O)(=O)N2CCN(S(=O)(=O)c3c(C)n[nH]c3C)CC2)c(C)n1,559.3506836,XS384389a
XS384389a,C15H24N6O4S2,CCn1ncc(S(=O)(=O)N2CCN(S(=O)(=O)c3cnn(C)c3C)CC2)c1C,559.3506836,XS384311a
XS384807a,C11H12N2O2,O=C1CCC(C(=O)Nc2ccccc2)N1,49.26188802333333,XS385097a;BD007409c
XS385097a,C11H12N2O2,O=C(Nc1ccccc1)C(=O)NC1CC1,49.26188802333333,XS384807a;BD007409c
BD007409c,C11H12N2O2,CC(=O)N1CCC(=O)Nc2ccccc21,49.26188802333333,XS384807a;XS385097a
XS383626a,C12H14N2O2,Cc1nc2ccccc2n1CCCC(=O)O,44.67501790333333,XS387367a;BD007407c;BD007405c
XS387367a,C12H14N2O2,CC(=O)Nc1cccc(C(=O)NC2CC2)c1,44.67501790333333,XS383626a;BD007407c;BD007405c
BD007407c,C12H14N2O2,CC(=O)N1CC(C)C(=O)Nc2ccccc21,44.67501790333333,XS383626a;XS387367a;BD007405c
BD007405c,C12H14N2O2,CC(=O)N1CCC(=O)N(C)c2ccccc21,44.67501790333333,XS383626a;XS387367a;BD007407c
XS386635a,C16H21N3O,NC(Cc1c[nH]c2ccccc12)C(=O)N1CCCCC1,96.4278711,XS095257bBR
XS095257bBR,C16H21N3O,C=CCn1c(=N)n(CC(=O)C(C)(C)C)c2ccccc21,96.4278711,XS386635a
XS384465a,C11H13N3O,Cn1nccc1COc1ccccc1N,75.16078613333335,PK012788b
PK012788b,C11H13N3O,c1ccc2oc(N3CCNCC3)nc2c1,75.16078613333335,XS384465a
XS386599a,C12H15N3O2,O=C1CCN(C(=O)Nc2ccccc2)CCN1,25.93734212333333,XS380955a;XS382183a
XS380955a,C12H15N3O2,COCC(=O)NC(C)c1nc2ccccc2[nH]1,25.93734212333333,XS386599a;XS382183a
XS382183a,C12H15N3O2,COCCNC(=O)c1cn2cccc(C)c2n1,25.93734212333333,XS386599a;XS380955a
XS385939a,C19H25N3O2,Cc1cc(C(=O)N2CCC(Cc3ccc(CO)cc3)CC2)n(C)n1,62.29888020666667,XS385979a
XS385979a,C19H25N3O2,CCn1cc(C(=O)N2CCC(Cc3ccc(CO)cc3)CC2)cn1,62.29888020666667,XS385939a
