COMPOUND_ID,COMPOUND_FORMULA,SMILES,ENRICHMENT,ISOMERS
XS379666a,C20H19N3O2,Cc1cc(C)c2c(c1)-c1cc(C)nn1C(c1ccc(C(=O)O)cc1)N2,19.803885416666667,XS385275a
XS385275a,C20H19N3O2,CCOC(=O)C1(c2ccccc2)Nc2ccccc2-c2cc(C)nn21,19.803885416666667,XS379666a
XS386631a,C21H30N2O4,CCn1c(C)c(C(=O)C(C)N(C(=O)C2CCC2)C2CC2)c(C)c1C(=O)OC,18.35742708333333,XS386867a
XS386867a,C21H30N2O4,COC(=O)c1[nH]c(C)c(C(=O)C(C)N(C(=O)C2CC2)C2CCCCC2)c1C,18.35742708333333,XS386631a
XS381661a,C19H23N5O2S,CCc1ccc(-c2cc3c(=O)[nH]nc(SCC(=O)NC(C)CC)n3n2)cc1,10.030253255555555,XS386628a
XS386628a,C19H23N5O2S,COCCCNC(=O)N1CCC(n2c(-c3cccs3)nc3cccnc32)C1,10.030253255555555,XS381661a
XS385834a,C14H18N2O2,O=C(C1CCC1)N1CCC(Oc2cccnc2)C1,24.032768046360708,XS385918a
XS385918a,C14H18N2O2,O=C(c1cccnc1)N1CCC(OCC2CC2)C1,24.032768046360708,XS385834a
XS385718a,C14H19NO3,COCCOC1CCN(C(=O)c2ccccc2)C1,11.688860794413072,XS385910a
XS385910a,C14H19NO3,COCCC(=O)N1CCC(Oc2ccccc2)C1,11.688860794413072,XS385718a
XS385415a,C16H22N2O2,CNC(=O)C1CCCN(C(=O)c2cc(C)cc(C)c2)C1,15.464794271111112,XS385880a;XS385946a;XS387215a
XS385880a,C16H22N2O2,Cc1ccc(CNC(=O)C2CCCCC(=O)N2C)cc1,15.464794271111112,XS385415a;XS385946a;XS387215a
XS385946a,C16H22N2O2,COC1CCC12CCN(C(=O)c1cnccc1C)CC2,15.464794271111112,XS385415a;XS385880a;XS387215a
XS387215a,C16H22N2O2,O=C(NCCN1CCOCC1)C1CC1c1ccccc1,15.464794271111112,XS385415a;XS385880a;XS385946a
XS385679a,C17H18N2O2,O=C(c1ccccn1)N1CCC(OCc2ccccc2)C1,10.19677105,XS385912a
XS385912a,C17H18N2O2,O=C(Cc1ccccc1)N1CCC(Oc2cccnc2)C1,10.19677105,XS385679a
XS386111a,C17H24N2O2,O=C(N[C@@H]1CN(Cc2ccccc2)C[C@H]1CO)C1CCC1,26.017035492863997,XS386290a;XS386781a;XS387007a
XS386290a,C17H24N2O2,CC(=O)N1CC[C@@]2(CO)CN(Cc3ccccc3)C[C@H]2C1,26.017035492863997,XS386111a;XS386781a;XS387007a
XS386781a,C17H24N2O2,C[C@@H]1c2ccccc2CCN1C(=O)CCN1CCOCC1,26.017035492863997,XS386111a;XS386290a;XS387007a
